id_nhs,nhs_region,culture,id_glottolog,id_ea,id_binford,id_hraf,id_sccs,id_chirila,id_wnai,id_dplace,id_ea_exact,id_binford_exact,id_chirila_exact,id_wnai_exact,id_notes,glotto_family,glotto_name,ow_nw
NHS-C001,NHS-R13,Kapauku,ekar1243,Ie1,.,OJ29,94,.,,1,1,.,.,.,.,nucl1709,Ekari,NW
NHS-C002,NHS-R11,Iroquois,iroq1247,Ng10,.,NM09,.,.,,1,1,.,.,.,.,iroq1247,Iroquoian,NW
NHS-C003,NHS-R27,Bemba,town1238,Ac3,.,FQ05,7,.,,1,1,.,.,.,.,atla1278,Town Bemba,OW
NHS-C004,NHS-R24,Garo,garo1247,Ei1,.,AR05,69,.,,1,1,.,.,.,.,sino1245,Garo,OW
NHS-C005,NHS-R28,Alacaluf,qawa1238,Sg5,B53,.,.,.,,1,1,1,.,.,.,kawe1237,Qawasqar,NW
NHS-C006,NHS-R13,Trobriands,kili1267,Ig2,.,OL06,98,.,,1,1,.,.,.,.,aust1307,Kilivila,NW
NHS-C007,NHS-R23,Saami,lule1254,Cg4,.,EP04,52,.,,1,1,.,.,.,.,ural1272,Lule Saami,OW
NHS-C008,NHS-R25,Ifugao,bata1298,Ia3,.,OA19,112,.,,1,1,.,.,.,.,aust1307,Batad Ifugao,OW
NHS-C009,NHS-R01,Saramaka,sara1340,Sc6,.,SR15,165,.,,1,1,.,.,.,.,indo1319,Saramaccan,NW
NHS-C010,NHS-R08,Bai,cent2004,Ed8,.,.,.,.,,1,1,.,.,.,.,sino1245,Central Bai,OW
NHS-C011,NHS-R30,Kanuri,mang1399,Cb19,.,MS14,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code,saha1256,Manga Kanuri,OW
NHS-C012,NHS-R01,JavaÃ©,java1255,.,.,.,.,.,,0,.,.,.,.,.,nucl1710,Javaé,NW
NHS-C013,NHS-R24,Uttar Pradesh,bhoj1244,Ef11,.,AW19,63,.,,1,1,.,.,.,.,indo1319,Bhojpuri,OW
NHS-C014,NHS-R22,Tikopia,tiko1237,Ii2,.,OT11,100,.,,1,1,.,.,.,.,aust1307,Tikopia,NW
NHS-C015,NHS-R29,Quechan,quec1382,Nh22,.,.,.,.,J141,1,1,.,.,1,.,coch1271,Quechan,NW
NHS-C016,NHS-R16,Chukchee,chuk1273,Ec3,.,RY02,121,.,,1,1,.,.,.,.,chuk1271,Chukchi,OW
NHS-C017,NHS-R09,Ganda,gand1255,Ad7,.,FK07,12,.,,1,1,.,.,.,.,atla1278,Ganda,OW
NHS-C018,NHS-R30,Fut,bafu1246,Ae9,.,.,.,.,,1,1,.,.,.,.,atla1278,Bafut,OW
NHS-C019,NHS-R22,Hawaiians,hawa1245,Ij6,.,OV05,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code,aust1307,Hawaiian,NW
NHS-C020,NHS-R12,Maya (Yucatan Peninsula),yuca1254,.,.,NV10,.,.,,0,.,.,.,.,D-PLACE (and EA) includes an entry for the Yucatec Maya at the time of conquest (1520),maya1287,Yucatec Maya,NW
NHS-C021,NHS-R09,Nyangatom,nyan1315,Aj24,.,.,.,.,,0,0,.,.,.,"EA refers to the Toposa, another group of the Karamajong cluster who, some claim, share a recent ancestor with Nyangatom",nilo1247,Nyangatom,OW
NHS-C022,NHS-R28,Ona,onaa1245,Sg3,B54,SH04,.,.,,1,1,1,.,.,.,chon1288,Selk'nam,NW
NHS-C023,NHS-R26,Serbs,serb1264,Ch1,.,EF06,.,.,,1,1,.,.,.,.,indo1319,Serbian Standard,OW
NHS-C024,NHS-R25,Eastern Toraja,pamo1252,Ic5,.,OG11,87,.,,0,0,.,.,.,EA refers to Western Toraja,aust1307,Pamona,OW
NHS-C025,NHS-R17,Tunisians,tuni1260,Cd21,.,.,.,.,,1,1,.,.,.,The song we have is sung by the descendants of sub-Saharan slaves,afro1255,Tunis (Tunisian Arabic),OW
NHS-C026,NHS-R20,Goajiro,wayu1243,Sb6,.,SC13,159,.,,1,1,.,.,.,.,araw1281,Wayuu,NW
NHS-C027,NHS-R24,Andamans,grea1241|jara1244,Eh1,B5|B6|B8,AZ02,79,.,,1,0,0,.,.,Combines several D-PLACE entries,,,OW
NHS-C028,NHS-R27,Lunda,lund1266,Ac6,.,.,.,.,,1,1,.,.,.,"the EA entry is for the Ndembu, a sub-group of the Lunda",atla1278,Lunda,OW
NHS-C029,NHS-R10,Bahia Brazilians,braz1246,Cf4,.,SO11,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code,indo1319,Brazilian Portuguese,NW
NHS-C030,NHS-R16,Nenets,nene1249,Ec4,.,RU41,53,.,,1,1,.,.,.,D-PLACE also includes the HRAF code RU04 (Samoyed),ural1272,Tundra Nenets,OW
NHS-C031,NHS-R06,EmberÃ¡,nort2972,Sa4,.,.,.,.,,1,1,.,.,.,.,choc1280,Northern Emberá,NW
NHS-C032,NHS-R05,Azande,zand1248,Ai3,.,FO07,28,.,,1,1,.,.,.,.,atla1278,Zande,OW
NHS-C033,NHS-R10,Guarani,tupi1282|west2640,Sh7|Sj10,.,SM04,181,.,,1,0,.,.,.,Combines several D-PLACE entries,tupi1275,,NW
NHS-C034,NHS-R03,Lardil,lard1243,.,B102,.,.,.,,1,.,1,.,.,.,tang1340,Lardil,NW
NHS-C035,NHS-R30,Ewe,aguu1242,Af36,.,.,.,.,,1,1,.,.,.,.,atla1278,Agu (Ewe),OW
