song,annotator,annotator_degree,annotator_field,tonal,tonal_pitch1,tonal_pitch2,scale,scale_type1,scale_type2,scale_quality,tempo_raw,tempo_adj,tempo_med,tempo_tap,tempo_val,micrometer,macrometer_text,macrometer_ord,macrometer_none,macrometer_2,macrometer_3,macrometer_4,macrometer_5,macrometer_6,macrometer_7,macrometer_8,macrometer_9,macrometer_10,macrometer_11,macrometer_12,macrometer_13,macrometer_14,macrometer_15,macrometer_other,repeat_small,repeat_large,repeat_vary,singers_n,singers_sex,leader,unison,polyphony,call_response,contour,ornament,vibrato,dynamics,ritard,words,infant,tension,tension_melody,tension_harmony,tension_rhythm,tension_motif,tension_accent,tension_dynamic,tension_voices,tension_inst,syncopate,accent,ending_stop,ending_finalnote,ending_long,ending_ritard,ending_accel,ending_loud,ending_quiet,ending_follow,ending_unknown,ending_other,clap,stomp,instru,instru_idio,instru_membrano,instru_aero,instru_chordo,instru_rhythm1,instru_rhythm2,instru_pitched,instru_drone,instru_harmony,instru_bassline,instru_cpt,instru_melody,transcr_qual,transcr_qualo,transcr_diff,transcr_diffo,transcr_text,like,guess_genre,guess_loc,comment_song
1,ACW,BM,Music Theory,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,60,120,60,Half,.5,Both duple and triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Identical,4,Female,Female leader(s),1,0,0,Undefined,0,0,No dynamics,No ritard or accel,Words present,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Healing,Oceania,
1,CAJ,PhD,Ethnomusicology,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,100,100,50,Quarter,.25,Duple,Minor deviations from macrometer,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,3,Male,No leader,1,0,0,Undefined,0,0,No dynamics,No ritard or accel,Pitched syllables,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Sort of difficult,4,,3,Healing,Asia,
1,CRC,PhD,Music Theory,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,55,110,55,Half,.5,Neither duple nor triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,No repetition,2,Male,Male leader(s),1,0,0,Undefined,0,0,Gets louder,No ritard or accel,Pitched syllables,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Perfect,8,Very easy,6,,1,Healing,Asia,
1,CSP,PhD,Music Theory,1,F,Single point of stability,0,.,.,Unknown,50,100,50,Half,.5,Duple,No macrometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,2,Both sexes,No leader,0,1,0,Undefined,0,0,Gets louder,No ritard or accel,Pitched syllables,0,0,0,0,0,0,0,0,0,0,.5,.5,1,0,0,0,0,0,0,0,0,The drone continues  and the other singer stops.,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Extremely accurate,7,Extremely easy,7,,3,Healing,Oceania,
1,DTL,.,.,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,52,104,52,Half,.5,Duple,Inconsistent deviations macrometer,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,2,Male,No leader,1,0,0,Undefined,0,1,Multiple dynamics,No ritard or accel,Words present,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Healing,South America,
1,EAG,PhD,Ethnomusicology,1,F,Single point of stability,0,.,.,Unknown,52,104,52,Half,.5,Neither duple nor triple,Totally clear macrometer,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,No repetition,3,Female,Female leader(s),1,0,0,Undefined,0,0,No dynamics,No ritard or accel,Pitched syllables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,singer stops to cough,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Sort of easy,5,,5,Healing,Asia,
1,EBR,MM,.,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,55,110,55,Half,.5,Neither duple nor triple,No macrometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Rhythmic variation,2,Male,Male leader(s),1,0,0,Undefined,0,0,No dynamics,No ritard or accel,Pitched syllables,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,1,Healing,Asia,
1,EJM,BM,.,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,112,112,56,Quarter,.25,Duple,Totally clear macrometer,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Identical,2,Male,Male leader(s),1,0,0,Undefined,0,1,No dynamics,No ritard or accel,Words present,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,2,Healing,Asia,"99:99 One voice acts as drone, second voice sings same pitch with varying rhythms"
1,EJS,BM,.,1,F,Single point of stability,0,.,.,Unknown,80,240,120,Dotted half,.75,Neither duple nor triple,No macrometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,No repetition,2,Male,Male leader(s),1,0,0,Undefined,1,1,No dynamics,No ritard or accel,Pitched syllables,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Healing,South America,"99:99 different syllables could mean words, they're also very different from each other"
1,ESL,BM,Music Theory,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,106,106,53,Quarter,.25,Both duple and triple,Totally clear macrometer,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,2,Male,No leader,1,0,0,Undefined,0,1,No dynamics,No ritard or accel,Words present,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,1,Healing,Oceania,
