song,type,transc_start,transc_end,culture,id_nhs,nhs_region,hraf_region,hraf_subregion,nhs_subsistence,latitude,longitude,location_modern,permalink,citation,citation_alt,collector_name,collector_affil,rec_tech,year,singers_sex,docpage_label,docpage_description,docpage_lyrics,docpage_map,docpage_images
NHSDiscography-001,Lullaby,00:41.695,1:12.317,Lardil,NHS-C034,NHS-R03,Oceania,Australia,Hunter-gatherers,-16.52,139.41,"Mornington Island, Queensland, Australia",http://www.worldcat.org/oclc/830532278,"""Lullaby"" [Track 4]. On Songs from North Queensland [CD]. Canberra, Australia: Australian Institute of Aboriginal Studies (2013).",.,Alice M. Moyle,Australian Institute of Aboriginal and Torres Strait Islander Studies,"Nagra III, Beyer 100 microphone",1966,Both sexes,p. 9,p. 9,.,"pp. 3, 37",.
NHSDiscography-002,Healing,00:00.333,1:21.224,Anggor,NHS-C039,NHS-R13,Oceania,Melanesia,Horticulturalists,-3.9,141.19,"Samanai Village, Green River (West Sepik Province), Papua New Guinea",http://www.worldcat.org/oclc/47967141,"""Healing Song"" [Track 9]. On Songs & Dances from Papua New Guinea [CD]. London: Topic Records (2001).",.,John Thornley,International Music Collection of the British Library National Sound Archive,.,1987,Male,p. 8,p. 8,.,p. 2,.
NHSDiscography-003,Lullaby,00:25.056,1:46.440,Blackfoot,NHS-C036,NHS-R21,North America,Plains and Plateau,Hunter-gatherers,48.5569174,-113.0134175,"Browning, Montana, USA",http://www.worldcat.org/oclc/51601305,"""Lullaby"" [Track 9]. On An Historical Album of Blackfoot Indian Music [CD]. New York: Smithsonian Folkways Recordings (2001).",.,Bruno Nettl,"American Museum of Natural History, Smithsonian Insitute",.,1966,Male,p. 8,p. 8,.,p. 3,p. 6 [right]
NHSDiscography-004,Healing,00:02.011,2:45.818,Uttar Pradesh,NHS-C013,NHS-R24,Asia,South Asia,Intensive agriculturalists,27.310642,79.036254,"Karimganj, Mainpuri District, Uttar Pradesh, India",.,"""Untitled Karimganj healing track"". Unpublished recording acquired from Susan Wadley (1994).","Wadley, S. S. (1976). The spirit “rides” or the spirit “comes”: Possession in a north Indian village. In A. Bharati (Ed.), The Realm of the Extra-Human: Agents and Audiences (pp. 233–251). Mouton & Co.",Susan Wadley,Syracuse University,1994 video camera,1994,Male,p. 1,p. 1,.,p. 2,p. 3
NHSDiscography-005,Dance,05:17.335,6:46.453,Emberá,NHS-C031,NHS-R06,Middle America and the Caribbean,Central America,Horticulturalists,5.28,-76.83,"Chocó Department, Colombia",http://www.worldcat.org/oclc/21862218,"""Wadana dances"" [Track 2]. On The Music of Some Indian Tribes of Colombia [LP]. London: British Institute of Recorded Sound (1972). ",.,Brian Moser,.,.,1960,Both sexes,p. 1,pp. 3-4,.,p. 7,p. 6 
NHSDiscography-006,Healing,00:09.499,2:41.508,Akan,NHS-C108,NHS-R30,Africa,Western Africa,Horticulturalists,6.39,-4.42,"Dimbokro, Côte d'Ivoire",http://www.worldcat.org/oclc/671260633,"""Drumming and singing for a medicine-man's dance"" [Track 6]. On Baoulé Côte d’Ivoire [LP]. Paris: Africavox (1946-1952).",.,Gilbert Rouget,.,.,1946-1952,Male,p. 1,"p. 1, 3",.,.,.
NHSDiscography-007,Love,00:12.442,3:14.079,Guarani,NHS-C033,NHS-R10,South America,Eastern South America,Other subsistence combinations,-25.289,-57.606,"Asuncion, Paraguay",http://id.lib.harvard.edu/aleph/012096982/catalog,"""Musiqueada jazmin guype"" [Side 1, Track 3]. On Les Quatre Guaranis Chant, Guitares et Harpe Indienne [LP]. Paris: Éditions de la Boite à Musique (1953). ",.,-,-,-,1953,.,p. 2,p. 2,-,-,-
NHSDiscography-008,Love,00:21.837,3:01.047,Garifuna,NHS-C060,NHS-R06,Middle America and the Caribbean,Central America,Horticulturalists,16.0010702,-88.9186343999999,"Barranco, Belize ",http://www.worldcat.org/oclc/49344152,"""Paranda"" [Track 7]. On Traditional Music of the Garifuna (Black Carib) of Belize [CD]. New York: Smithsonian Folkways Recordings (2001).",.,Carol and Travis Jenkins,"American Folklife Center, Library of Congress and Illinois State University",Nagra stereo equipment,pre-1982,Both sexes,p. 5,p. 5,p. 5,p. 3,.
NHSDiscography-009,Lullaby,00:00.430,0:45.033,Nahua,NHS-C063,NHS-R12,Middle America and the Caribbean,Maya Area,Other subsistence combinations,17.7239,-100.0719,"Guerrero, Mexico",http://www.worldcat.org/oclc/55029585,"""Canción de cuna"" [Track 1]. On In Xóchitl in cuícatl [CD]. Mexico City: Instituto Nacional De Antropologia E Historia (1980).",.,José Raul Hellmer,Instituto Nacional de Bellas Artes,tape recorder,1962,Male,p. 19,p. 19,p. 20,p. 9,.
NHSDiscography-010,Love,00:01.492,4:06.098,Kwakwaka'wakw,NHS-C112,NHS-R19,North America,Northwest Coast and California,Hunter-gatherers,54,-125,"British Columbia, Canada",http://www.worldcat.org/oclc/2271400,"""Love song"" [Side 4, Track 1]. On Indian Music of the Pacific Northwest Coast [LP]. New York: Folkways Records (1967).",.,"Ida Halpern, Margaret Sargent McTaggart","Simon Fraser University, National Museum of Canada",.,1947-1953,Both sexes,p. 28,pp. 28-29,p. 28,p. 33,.
NHSDiscography-011,Healing,00:00.517,3:55.389,Yapese,NHS-C096,NHS-R14,Oceania,Micronesia,Horticulturalists,7.37555559999999,143.913888899999,"Falalop, Woleai, Yap, Federated States of Micronesia",http://www.worldcat.org/oclc/34256918,"""Song for sick people"" [Track 29]. On Spirit of Micronesia [CD]. Wotton-under-Edge, Gloucestershire, United Kingdom: Saydisc Records (1995).",.,David Fanshawe,.,Stellavox SR8/SP8,1984,Female,p. 14,p. 14,p. 14,p. 4,.
NHSDiscography-012,Love,00:06.289,2:36.750,Fulani,NHS-C053,NHS-R30,Africa,Western Africa,Pastoralists,14.01,.75,"Téra, Niger",http://www.worldcat.org/oclc/935335829,"""Niger: Kompule"" [Track 17]. On Chants d'amour [CD]. Ivry-sur-Seine, France: Auvidis/Unesco (1996).",.,Simha Arom,.,.,1972-1996,Male,p. 7,p. 7,p. 7,.,.
NHSDiscography-013,Dance,00:02.826,2:25.992,Yolngu,NHS-C109,NHS-R03,Oceania,Australia,Hunter-gatherers,-12.7308,134.5928,"Arnhem Land, Australia ",http://www.worldcat.org/oclc/1061508,"""Wadamiri"" [Side 1, Track 5]. On Tribal Music of Australia [LP]. Washington, D.C.: Folkways Records (1953). ",.,A.P. Elkin,.,Wire and tape recorders,1949-1952,.,p. 5,p. 5,p. 5,.,p. 5
NHSDiscography-014,Dance,01:16.251,3:05.340,Aymara,NHS-C098,NHS-R07,South America,Central Andes,Horticulturalists,-19.4656738,-68.6410174999999,"Cariquima, Colchane, Región de Tarapacá, Chile",http://www.worldcat.org/oclc/51910079,"""Tata San Juan"" [Track 2]. On Ameridian Music of Chile: Aymara, Qaqashqar, Mapuche [CD]. New York: Folkways Records (2002).",.,"Christos Clair-Vasiliadis, Rodrigo Medina, Adalberto Salas, Mirka Stratigopoulou","Centro de Investigación de Lenguas lndígenas, Universidad Católica de Valparaíso, Centro de Estudios Regionales, Universidad Católica de Chile - Temuco",.,1974,Male,p. 5,pp. 5-6,p. 5,.,.
NHSDiscography-015,Love,00:54.435,1:24.974,Pawnee,NHS-C070,NHS-R21,North America,Plains and Plateau,Primarily hunter-gatherers,36.34,-96.8,"Pawnee, Oklahoma, USA",http://www.worldcat.org/oclc/3237418,"""Man's love song"" [Side 1, Track 3]. On Music of the Pawnee [LP]. New York: Folkways Records (1965).",.,Gene Weltfish,Fairleigh Dickinson University,Aluminum discs,1936,Male,p. 8,p. 6,p. 8,.,p. 1
