song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,class,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
1,30.622,2,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,5,1,1,1,0,1.3062505,.76555002,1.1777692,.14722115,.4575713,101.88754,0,.68447268,.68419117,.43618548,.40758052,.27171853,.21423338,.14501034,.07070338,.042369276,-.00059675041,-.046773005,-.049383592,-.096374147,-.14075412,-.14381684,-.2297489,-.26077992,-.26606226,-.26867285,-.27510193,-.28464994,-.28955755,-.29897195,-.30522105,,5,17,14,10,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,80.890999,2,1.9368421,2,2,.61052632,.1724138,4,.28421053,.7157895,.17894737,.29069766,1.8297873,3.8936169,.31967214,.31967214,1,1,2,2,3,6,6,7,1.4958401,1.1995442,4.5895605,.14342377,1.0513611,52.292591,0,.63250864,.47173622,.41848287,.30778596,.29987806,.28259262,.26121867,.078953333,.065977976,.025338762,-.0025086266,-.0043101693,-.0073696421,-.068020947,-.069603942,-.082192488,-.084593922,-.31110454,-.31373453,-.32172364,-.33931491,-.34757647,-.41428947,-.4781298,,0,12,21,7,16,.10526316,.10526316,.61052632,.10526316,.073684208,0,0,0,0,0,0,0,0,0,0,0,0
3,81.384003,1,1.4183006,0,3,.54901963,.34523809,3,.77124184,.15686275,.20915033,.30434781,1.8648648,5.6486487,.36206895,.57471263,.58730161,.34,12,9,4,10,6,19,2.1380124,.42110458,1.5957648,.13298039,.27426964,112.79858,1,.8783924,.6408866,.45205343,.40182552,.38815361,.36873162,.27054083,.18931293,.093485765,.069642827,.0092956536,-.011450102,-.037717849,-.09663111,-.11316934,-.25713822,-.29175612,-.29653084,-.30156595,-.45312831,-.4544709,-.45782167,-.49469039,-.49625039,,22,10,3,15,1,.54901963,.0065359478,.1503268,.18954249,.019607844,.05882353,.013071896,.013071896,0,0,0,0,0,0,0,0,0
4,163.80701,1,.76565295,0,1,.6583184,.32336956,2,.69946331,.2647585,.032200359,.48167539,1.4469697,3.2272727,.60960001,.60960001,.52493441,.52493441,1,1,2,12,9,19,3.8154657,.23125695,1.1336125,.094467707,.12121705,105.85629,1,.49737221,.45309618,.2893948,.28111896,.2308054,.23014799,.22915982,.22132733,.18904601,.0049955347,.00015813202,-.076345421,-.079396963,-.13276622,-.14969592,-.15259415,-.17432481,-.19092612,-.22024079,-.2670843,-.26877892,-.27505806,-.28811795,-.3512927,,18,6,2,23,19,.6583184,.21288015,.051878355,.023255814,.008944544,.012522361,.0035778175,.0017889087,.0017889087,.017889088,.0071556349,0,0,0,0,0,0
5,89.117996,2,2.5219512,2,1,.36585367,.54666668,4,.5219512,.39512196,.29756099,.42105263,1.9213483,5.719101,.25,.26249999,1,.95238096,4,4,5,10,8,15,2.6369534,.50563407,2.8747742,.15970968,.45050743,93.920418,1,.86911631,.83076692,.54946554,.42376894,.41741076,.3646825,.25379029,.2290041,.1829,.13490188,.038166925,.035658326,-.050778251,-.12165233,-.13332702,-.21020897,-.25901332,-.26604843,-.42303923,-.4777196,-.4794246,-.53885365,-.67946893,-.69009811,,15,6,22,11,1,.17560975,.029268293,.36585367,.2,.097560972,.078048781,0,.048780486,.0048780488,0,0,0,0,0,0,0,0
6,152.009,2,1.7117118,2,1,.6267696,.40451744,2,.097812101,.88030887,.027027028,.45429364,1.4764826,2.7137015,.25939393,.25939393,.75700933,.75700933,2,2,5,10,10,11,5.42731,.34280068,4.0267286,.13422428,.41870075,223.5065,0,.72949117,.70508468,.48672086,.47750244,.36696386,.3291111,.19827439,.17499064,.16977251,.12401659,.078537881,.05599419,.019635322,-.02127251,-.050071996,-.25536841,-.28511339,-.33892518,-.34166408,-.38647345,-.466791,-.49831602,-.59837729,-.67372227,,0,16,7,21,14,.070785068,.25353926,.6267696,.014157014,.012870013,.020592021,.0012870013,0,0,0,0,0,0,0,0,0,0
7,181.63699,2,1.740171,0,2,.37264958,.64678901,4,.60683763,.32649574,.22905983,.40599456,1.4224806,3.9069767,.29302326,.29302326,.69841272,.69841272,2,10,5,9,8,12,3.5510385,.39978242,4.401917,.23167984,.39523143,129.48903,0,.69203436,.68846965,.66856158,.56772125,.31404519,.30695686,.21719791,.16026381,.12528645,.11097646,.080935776,.080025591,-.11672915,-.14276481,-.1515553,-.18676153,-.22639589,-.2455675,-.25171822,-.42432219,-.490242,-.57619947,-.58964336,-.6105755,,11,4,20,13,23,.37264958,.085470088,.24102564,.11452992,.11452992,.064957269,.0017094017,.0051282053,0,0,0,0,0,0,0,0,0
8,159.21001,2,1.576507,2,2,.3755796,.66255146,4,.39876354,.57805252,.14374034,.40204081,2.2272727,4.6999998,.10555556,.21111111,1,1,5,7,3,19,8,28,4.396709,.41117519,1.5557981,.17286645,.35140812,173.54437,1,.85145539,.61686897,.50843281,.44054347,.41464096,.39278477,.38662666,.3672905,.32075563,.28610188,.14209458,-.098753728,-.13801128,-.15721782,-.17432545,-.19295378,-.27294379,-.2892969,-.49575156,-.5313189,-.54382259,-.58296543,-.58687729,-.66335708,,20,8,1,13,11,.24884081,.20247295,.3755796,.14374034,0,.01236476,0,.00618238,.010819165,0,0,0,0,0,0,0,0
9,44.603001,1,3.5211267,3,1,.32394367,.82608694,4,.61971831,.33802816,.47887325,.23943663,2.1515152,7.3939395,.27160493,.27160493,.90909094,.90909094,3,9,4,6,6,8,1.8160213,.5185774,1.7321553,.21651942,.26283315,69.277855,1,.88124818,.61314946,.53777218,.45906517,.45697477,.35918871,.3447912,.1669361,.14971702,.13157937,.00076395023,-.010953782,-.045555558,-.10539269,-.20147033,-.2479277,-.32503304,-.32578933,-.35152623,-.40097752,-.40149891,-.47421199,-.59105051,-.61979854,,21,0,9,16,5,0,.070422538,.26760563,.32394367,.15492958,0,0,.14084508,.04225352,0,0,0,0,0,0,0,0
10,244.606,1,2.0826874,0,2,.3488372,.92592591,4,.62015504,.32299742,.20930232,.38095239,1.75,5.5138888,.40486726,.43141592,.55737704,.5794872,2,10,4,7,5,14,1.8478696,.48672068,1.96866,.16405499,.31043944,91.432755,0,.77575582,.62775832,.61331481,.51939166,.38222167,.36203948,.24392517,.17649515,.17216901,.07007324,.032551222,.031775005,-.026153915,-.13764979,-.18792348,-.1921033,-.2672947,-.31151375,-.37031239,-.43925264,-.47666591,-.47778991,-.55462569,-.56618518,,11,23,4,20,6,.3488372,0,.32299742,.11886305,.090439275,.056847546,0,.062015504,0,0,0,0,0,0,0,0,0
