indx,singers_sex,singers_leader,singers_dance,audience_dance,religious,trance,ceremony,informal,appear,restrict,mimic,nowords,child_by,child_for,compose,improv,clap,stomp,instrument,cite_text_manual,cite_url_manual,cite_page_manual
1,.,.,.,.,0,0,.,1,0,1,0,.,0,0,.,0,.,.,0,"Arhin, Kwame. 1986. “Asante Praise Poems: The Ideology Of Patrimonialism.” Paideuma, 163-97.",http://ehrafworldcultures.yale.edu/document?id=fe12-034,167
2,.,1,1,.,0,0,1,.,1,1,0,.,0,0,1,0,.,.,0,"Danquah, J. B. (Joseph Boakye). 1945. “Gold Coast Akan.” Africa’S Own Library. London: United Society for Christian Literature.",http://ehrafworldcultures.yale.edu/document?id=fe12-050,52
3,Male,1,0,.,0,0,0,0,0,1,0,.,0,0,.,0,.,.,1,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,54
4,Female,.,1,0,1,0,1,.,0,1,0,.,0,0,1,0,.,.,0,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,96
5,Both sexes,.,.,.,0,0,.,1,0,0,0,.,1,0,1,0,.,.,0,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,228-229
6,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,151
7,.,1,1,1,1,1,1,0,0,0,0,Jibberish,0,0,.,0,.,.,1,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,155-156
8,.,1,1,1,1,1,1,0,0,1,0,Jibberish,0,0,.,0,.,.,0,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,157
9,.,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,44
10,Female,.,.,.,1,0,.,1,0,0,0,.,0,0,.,0,.,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,97
11,Female,.,1,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,98
12,Female,0,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,161
13,Female,0,0,0,1,0,.,.,0,0,0,.,0,0,0,0,0,0,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,184-185
14,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421
