indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
1,"CHIEF EXECUTIVE (643); STATUS, ROLE, AND PRESTIGE (554); TRADITIONAL HISTORY (173); HUMANISTIC STUDIES (814); VERBAL ARTS (5310)","Arhin, Kwame. 1986. “Asante Praise Poems: The Ideology Of Patrimonialism.” Paideuma, 163–97.",http://ehrafworldcultures.yale.edu/document?id=fe12-034,167,Kwame Arhin,Ian Skoggard ;1999,English,Asante praise poems,fe12-034,"Arhin, Kwame",Journal Article,34,Ashanti; Ghana,1600-1900,Not Specified,"Social Scientist-4,5",Paideuma -- Bd. 32 Wiesbaden [etc.]
2,EXECUTIVE HOUSEHOLD (644); PARAPHERNALIA (293); DELIBERATIVE COUNCILS (646),"Danquah, J. B. (Joseph Boakye). 1945. “Gold Coast Akan.” Africa’S Own Library. London: United Society for Christian Literature.",http://ehrafworldcultures.yale.edu/document?id=fe12-050,52,by J. B. Danquah,Ian Skoggard ;1999,English,The Gold Coast Akan,fe12-050,"Danquah, J. B. (Joseph Boakye)",Monograph,50,Ghana,not specified,Not Specified,"Humanist-4,5",London
3,TRANSMISSION OF MESSAGES (202); MUSICAL INSTRUMENTS (534),"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,54,"by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959",English,Gold Coast,fe12-019,"Danquah, J. B. (Joseph Boakye)",Monograph,19,Akyem; Ghana,not specified,no date,Indigene-5,London
4,TRIAL PROCEDURE (695),"Arhin, Kwame. 1983. “Political And Military Roles Of Akan Women.” Female And Male In West Africa. London: Allen & Unwin.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,96,"by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959",English,Gold Coast,fe12-019,"Danquah, J. B. (Joseph Boakye)",Monograph,19,Akyem; Ghana,not specified,no date,Indigene-5,London
5,SODALITIES (575); LEISURE TIME ACTIVITIES (517),"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-019,228-229,"by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959",English,Gold Coast,fe12-019,"Danquah, J. B. (Joseph Boakye)",Monograph,19,Akyem; Ghana,not specified,no date,Indigene-5,London
6,RELIGIOUS DENOMINATIONS (795); ORGANIZED CEREMONIAL (796),"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,151,by H. Debrunner,Ian Skoggard ; 1999,English,Witchcraft in Ghana,fe12-051,"Debrunner, Hans W.",Monograph,51,Ghana,1850-1960,Not Specified,"Clergyman-4,5",Accra
7,MAGICAL AND MENTAL THERAPY (755); PROPHETS AND ASCETICS (792); CONGREGATIONS (794); RELIGIOUS DENOMINATIONS (795); ORGANIZED CEREMONIAL (796),"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,155-156,by H. Debrunner,Ian Skoggard ; 1999,English,Witchcraft in Ghana,fe12-051,"Debrunner, Hans W.",Monograph,51,Ghana,1850-1960,Not Specified,"Clergyman-4,5",Accra
8,CONCEPTION (842); REVELATION AND DIVINATION (787); MAGIC (789); MAGICAL AND MENTAL THERAPY (755); PROPHETS AND ASCETICS (792); CONGREGATIONS (794); SPEECH (191),"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-051,157,by H. Debrunner,Ian Skoggard ; 1999,English,Witchcraft in Ghana,fe12-051,"Debrunner, Hans W.",Monograph,51,Ghana,1850-1960,Not Specified,"Clergyman-4,5",Accra
9,SPIRITS AND GODS (776),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,44,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
10,SACRED OBJECTS AND PLACES (778); PERSONALITY TRAITS (157),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,97,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
