"","indx","cite_text_manual","cite_url_manual","cite_page_manual","cite_text","cite_url","cite_pages","cite_byline","cite_analyst","cite_language","cite_title","cite_docid","cite_author","cite_doctype","cite_docnum","cite_location","cite_date","cite_fielddate","cite_evaluation","cite_publisher","pubyear","pubnonenglish","cite_author.1","author_female","author_age","authorfield_science","authorfield_ethno","authorfield_linguistic","authorfield_education","authorfield_art","authorfield_medicine","authorfield_business","authorfield_religion","authorfield_govt","authorfield_socialscience","authorfield_travel","authorfield_local"
"1",1,"Arhin, Kwame. 1986. “Asante Praise Poems: The Ideology Of Patrimonialism.” Paideuma, 163-97.","http://ehrafworldcultures.yale.edu/document?id=fe12-034","167","Arhin, Kwame. 1986. “Asante Praise Poems: The Ideology Of Patrimonialism.” Paideuma, 163–97.","http://ehrafworldcultures.yale.edu/document?id=fe12-034","167","Kwame Arhin","Ian Skoggard ;1999","English","Asante praise poems","fe12-034","Arhin, Kwame","Journal Article",34,"Ashanti; Ghana","1600-1900","Not Specified","socialscientist,","Paideuma -- Bd. 32 Wiesbaden [etc.]",1986,0,"Arhin, Kwame",0,NA,0,0,0,0,0,0,0,0,0,1,0,0
"2",2,"Danquah, J. B. (Joseph Boakye). 1945. “Gold Coast Akan.” Africa’S Own Library. London: United Society for Christian Literature.","http://ehrafworldcultures.yale.edu/document?id=fe12-050","52","Danquah, J. B. (Joseph Boakye). 1945. “Gold Coast Akan.” Africa’S Own Library. London: United Society for Christian Literature.","http://ehrafworldcultures.yale.edu/document?id=fe12-050","52","by J. B. Danquah","Ian Skoggard ;1999","English","The Gold Coast Akan","fe12-050","Danquah, J. B. (Joseph Boakye)","Monograph",50,"Ghana","not specified","Not Specified","humanist,","London",1945,0,"Danquah, J. B. (Joseph Boakye)",0,50,0,1,0,0,0,0,0,0,0,0,0,0
"3",3,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","54","Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","54","by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959","English","Gold Coast","fe12-019","Danquah, J. B. (Joseph Boakye)","Monograph",19,"Akyem; Ghana","not specified","no date","indigene","London",1928,0,"Danquah, J. B. (Joseph Boakye)",0,33,0,0,0,0,0,0,0,0,0,0,0,1
"4",4,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","96","Arhin, Kwame. 1983. “Political And Military Roles Of Akan Women.” Female And Male In West Africa. London: Allen & Unwin.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","96","by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959","English","Gold Coast","fe12-019","Danquah, J. B. (Joseph Boakye)","Monograph",19,"Akyem; Ghana","not specified","no date","indigene","London",1983,0,"Danquah, J. B. (Joseph Boakye)",0,NA,0,0,0,0,0,0,0,0,0,0,0,1
"5",5,"Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","228-229","Danquah, J. B. (Joseph Boakye). 1928. “Gold Coast: Akan Laws And Customs And The Akim Abuakwa Constitution.” London: George Routledge & Sons, Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-019","228-229","by J. B. Danquah, B.A., LL.B.(Lond.)","George R. Bedell ; 1954, 1959","English","Gold Coast","fe12-019","Danquah, J. B. (Joseph Boakye)","Monograph",19,"Akyem; Ghana","not specified","no date","indigene","London",1928,0,"Danquah, J. B. (Joseph Boakye)",0,33,0,0,0,0,0,0,0,0,0,0,0,1
"6",6,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","151","Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","151","by H. Debrunner","Ian Skoggard ; 1999","English","Witchcraft in Ghana","fe12-051","Debrunner, Hans W.","Monograph",51,"Ghana","1850-1960","Not Specified","clergyman,","Accra",1961,0,"Debrunner, Hans W.",0,38,0,0,0,0,0,0,0,1,0,0,0,0
"7",7,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","155-156","Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","155-156","by H. Debrunner","Ian Skoggard ; 1999","English","Witchcraft in Ghana","fe12-051","Debrunner, Hans W.","Monograph",51,"Ghana","1850-1960","Not Specified","clergyman,","Accra",1961,0,"Debrunner, Hans W.",0,38,0,0,0,0,0,0,0,1,0,0,0,0
"8",8,"Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","157","Debrunner, Hans W. 1961. “Witchcraft In Ghana: A Study On The Belief In Destructive Witches And Its Effect On The Akan Tribes.” Accra: Presbyterian Book Depot Ltd.","http://ehrafworldcultures.yale.edu/document?id=fe12-051","157","by H. Debrunner","Ian Skoggard ; 1999","English","Witchcraft in Ghana","fe12-051","Debrunner, Hans W.","Monograph",51,"Ghana","1850-1960","Not Specified","clergyman,","Accra",1961,0,"Debrunner, Hans W.",0,38,0,0,0,0,0,0,0,1,0,0,0,0
"9",9,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","44","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","44","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"10",10,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","97","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","97","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
