"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","from","to","from.pitch","to.pitch","proportion.exit"
"1","pitch",2,"0_0",7011,0.184859188288546,111,0.184859188288546,1,0,0,"C","C",0.587079786593303
"2","pitch",2,"7_7",1827,0.0576130458548617,74,0.242472234143408,2,7,7,"G","G",0.386815184210479
"3","pitch",2,"2_0",1601,0.0437458472203425,72,0.286218081363751,3,2,0,"D","C",0.383323116368383
"4","pitch",2,"4_4",1659,0.0367649961779626,47,0.322983077541713,4,4,4,"E","E",0.350882779470109
"5","pitch",2,"4_2",1088,0.0319502754285821,48,0.354933352970295,5,4,2,"E","D",0.304931391613643
"6","pitch",2,"2_2",1083,0.0283190820804055,54,0.383252435050701,6,2,2,"D","D",0.248146040950492
"7","pitch",2,"5_5",773,0.0280510362566456,57,0.411303471307346,7,5,5,"F","F",0.293051187746088
"8","pitch",2,"7_5",968,0.0274389541172605,63,0.438742425424607,8,7,5,"G","F",0.18422570676352
"9","pitch",2,"3_3",803,0.0258436107878577,41,0.464586036212465,9,3,3,"Eb","Eb",0.339128931373121
"10","pitch",2,"0_2",935,0.0248672965206619,63,0.489453332733127,10,0,2,"C","D",0.0789740952000444
"11","pitch",2,"7_0",685,0.023861325350477,59,0.513314658083604,11,7,0,"G","C",0.160205433057695
"12","pitch",2,"0_7",630,0.0225130912933845,63,0.535827749376988,12,0,7,"C","G",0.07149755959896
"13","pitch",2,"3_0",636,0.0209380311460293,45,0.556765780523017,13,3,0,"Eb","C",0.274756193548085
"14","pitch",2,"2_4",697,0.0177884508177228,36,0.57455423134074,14,2,4,"D","E",0.155871353193141
"15","pitch",2,"0_3",597,0.0176474307739849,41,0.592201662114725,15,0,3,"C","Eb",0.0560450902583187
"16","pitch",2,"9_7",673,0.0171355780075397,43,0.609337240122265,16,9,7,"A","G",0.43868912445615
"17","pitch",2,"5_3",437,0.0166884793016247,42,0.62602571942389,17,5,3,"F","Eb",0.17434574025259
"18","pitch",2,"0_10",510,0.0154762989116065,43,0.641502018335496,18,0,10,"C","Bb",0.0491499629874932
"19","pitch",2,"4_0",426,0.0141145837815786,41,0.655616602117075,19,4,0,"E","C",0.134708687697692
"20","pitch",2,"5_7",541,0.0140421511558914,45,0.669658753272966,20,5,7,"F","G",0.146699360305064
"21","pitch",2,"5_4",615,0.0138969304215642,35,0.68355568369453,21,5,4,"F","E",0.145182228877527
"22","pitch",2,"10_10",462,0.0130721761748966,27,0.696627859869427,22,10,10,"Bb","Bb",0.321565195695835
"23","pitch",2,"7_4",379,0.0128384629450723,33,0.709466322814499,23,7,4,"G","E",0.0861977063595652
"24","pitch",2,"0_4",367,0.0127072507263073,47,0.722173573540806,24,0,4,"C","E",0.0403559601968149
"25","pitch",2,"0_9",414,0.0124161927350804,31,0.734589766275887,25,0,9,"C","A",0.039431611967453
"26","pitch",2,"10_0",342,0.0115542921031472,34,0.746144058379034,26,10,0,"Bb","C",0.284226447958253
"27","pitch",2,"4_7",317,0.010681420493939,36,0.756825478872973,27,4,7,"E","G",0.101942796171127
"28","pitch",2,"0_11",257,0.0106403154314854,26,0.767465794304458,28,0,11,"C","B",0.033791742626563
"29","pitch",2,"11_0",264,0.0100378547847106,19,0.777503649089169,29,11,0,"B","C",0.424473402324614
"30","pitch",2,"5_2",334,0.00970911719277261,33,0.787212766281942,30,5,2,"F","D",0.101431843703596
"31","pitch",2,"2_5",254,0.00944179678053808,29,0.79665456306248,31,2,5,"D","F",0.0827337723693647
"32","pitch",2,"9_9",415,0.00873086576259858,29,0.805385428825078,32,9,9,"A","A",0.223519501673843
"33","pitch",2,"5_0",214,0.00855485998067181,35,0.81394028880575,33,5,0,"F","C",0.0893732358191726
"34","pitch",2,"3_5",220,0.00844718081323722,32,0.822387469618987,34,3,5,"Eb","F",0.110846871430775
"35","pitch",2,"3_2",286,0.00833349730436679,26,0.830720966923354,35,3,2,"Eb","D",0.109355076526633
"36","pitch",2,"1_1",279,0.00828879065673906,11,0.839009757580093,36,1,1,"C#","C#",0.500676130479168
"37","pitch",2,"0_5",171,0.00822684875753194,37,0.847236606337625,37,0,5,"C","F",0.0261270032483772
"38","pitch",2,"7_9",323,0.00699687008943798,27,0.854233476427063,38,7,9,"G","A",0.0469771308283357
"39","pitch",2,"10_7",234,0.00660439782400869,24,0.860837874251072,39,10,7,"Bb","G",0.16246296334415
"40","pitch",2,"7_3",257,0.00604059158495047,20,0.866878465836022,40,7,3,"G","Eb",0.0405566571251797
"41","pitch",2,"4_5",349,0.00603112725498462,25,0.872909593091007,41,4,5,"E","F",0.0575606939906448
"42","pitch",2,"8_8",305,0.00557472128435945,15,0.878484314375366,42,8,8,"Ab","Ab",0.338539655412825
"43","pitch",2,"9_0",181,0.0055347102154316,26,0.884019024590798,43,9,0,"A","C",0.141694501198492
