"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1094","relative pitch",3,"+0_+0",8247,0.220196368539105,107,0.220196368539105,1,0.216274440546533
"1095","relative pitch",3,"-2_+0",1361,0.0427790051363823,88,0.262975373675488,2,0.101231634369197
"1096","relative pitch",3,"+0_-2",1329,0.038904933772225,77,0.301880307447713,3,0.0638774718968481
"1097","relative pitch",3,"+2_-2",1283,0.0341345687855532,74,0.336014876233266,4,0.0458543095957379
"1098","relative pitch",3,"-2_-2",784,0.0291838959032933,66,0.365198772136559,5,0.0353845897581849
"1099","relative pitch",3,"-2_+2",1005,0.0246945201753775,65,0.389893292311937,6,0.0286005598717878
"1100","relative pitch",3,"+0_+2",704,0.0226529403611298,76,0.412546232673066,7,0.023875047549179
"1101","relative pitch",3,"-3_+0",583,0.0187576935852395,63,0.431303926258306,8,0.0204094156835438
"1102","relative pitch",3,"+2_+0",576,0.0186541797172937,65,0.4499581059756,9,0.017767742777472
"1103","relative pitch",3,"+0_-3",484,0.0169881236025529,59,0.466946229578153,10,0.0156927729240333
"1104","relative pitch",3,"-1_-2",486,0.0159661456332951,45,0.482912375211448,11,0.0140233126784056
"1105","relative pitch",3,"+3_+0",413,0.0146343339978798,53,0.497546709209327,12,0.0126534437947445
"1106","relative pitch",3,"-3_+3",319,0.0127382918575221,41,0.510285001066849,13,0.0115108256197698
"1107","relative pitch",3,"+0_+3",363,0.0127266384930027,55,0.523011639559852,14,0.0105444399573401
"1108","relative pitch",3,"-2_-3",323,0.0112089335956162,45,0.534220573155468,15,0.00971731938990749
"1109","relative pitch",3,"-7_+0",313,0.0110885461046462,47,0.545309119260115,16,0.00900205054429569
"1110","relative pitch",3,"+3_-3",294,0.0109992882498233,46,0.556308407509938,17,0.00837789383557526
"1111","relative pitch",3,"-4_+0",346,0.0108883278786091,45,0.567196735388547,18,0.00782888183919993
"1112","relative pitch",3,"-2_-1",351,0.0108025862195573,41,0.577999321608104,19,0.00734253019931441
"1113","relative pitch",3,"+0_+7",278,0.0101095402313528,45,0.588108861839457,20,0.00690894325159078
"1114","relative pitch",3,"+0_+4",303,0.0095130141837445,49,0.597621876023201,21,0.00652018060589629
"1115","relative pitch",3,"+0_-1",306,0.00859195827765853,38,0.60621383430086,22,0.00616980023505306
"1116","relative pitch",3,"+9_-2",172,0.00835103298923094,17,0.614564867290091,23,0.00585252340556989
"1117","relative pitch",3,"+7_-7",170,0.00784600314821438,28,0.622410870438305,24,0.00556398527261805
"1118","relative pitch",3,"+0_+10",228,0.00780775356853131,33,0.630218624006837,25,0.00530054671141327
"1119","relative pitch",3,"+1_-1",373,0.00777340642130946,36,0.637992030428146,26,0.00505915058852859
"1120","relative pitch",3,"-5_+0",154,0.00772779168214014,34,0.645719822110286,27,0.00483721073130554
"1121","relative pitch",3,"+2_+2",238,0.00768534043952507,29,0.653405162549811,28,0.00463252526191857
"1122","relative pitch",3,"+4_+0",241,0.00753822534491898,35,0.66094338789473,29,0.00444320829891737
"1123","relative pitch",3,"-3_-2",231,0.00749683513406779,33,0.668440223028798,30,0.00426763565476539
"1124","relative pitch",3,"+7_+0",210,0.00725686924566737,41,0.675697092274466,31,0.00410440130496095
"1125","relative pitch",3,"+0_+5",151,0.00717064760710834,42,0.682867739881574,32,0.00395228222415935
"1126","relative pitch",3,"+0_-4",244,0.00704047605653697,32,0.689908215938111,33,0.00381020977770203
"1127","relative pitch",3,"+11_-11",126,0.00652771444582901,13,0.69643593038394,34,0.00367724629066095
"1128","relative pitch",3,"-11_+11",107,0.00652650689162072,9,0.702962437275561,35,0.00355256573701645
"1129","relative pitch",3,"+0_-7",200,0.00621814090701467,33,0.709180578182575,36,0.00343543773075497
"1130","relative pitch",3,"-2_+9",230,0.0060928114702781,16,0.715273389652853,37,0.00332521418077357
"1131","relative pitch",3,"-2_-7",74,0.00590454483588173,10,0.721177934488735,38,0.00322131810826198
"1132","relative pitch",3,"-1_+0",220,0.00580966585053345,29,0.726987600339268,39,0.00312323422995727
"1133","relative pitch",3,"+0_+1",194,0.0053917618178009,26,0.732379362157069,40,0.00303050099145485
"1134","relative pitch",3,"+4_-4",194,0.00532339669049288,26,0.737702758847562,41,0.00294270379753144
"1135","relative pitch",3,"+0_-5",103,0.00503861027809076,29,0.742741369125653,42,0.00285946923553985
"1136","relative pitch",3,"+2_+1",205,0.00499017072841491,22,0.747731539854068,43,0.0027804601265954
"1137","relative pitch",3,"-1_+1",240,0.00497546877706789,34,0.752707008631136,44,0.00270537126989681
"1138","relative pitch",3,"+5_-2",134,0.00471498231237862,22,0.757421990943514,45,0.00263392576992199
"1139","relative pitch",3,"+1_+0",150,0.0046275231072876,32,0.762049514050802,46,0.00256587185578441
"1140","relative pitch",3,"-10_+0",130,0.0045621700146356,17,0.766611684065438,47,0.00250098011777518
"1141","relative pitch",3,"+3_-1",103,0.00453303049720638,18,0.771144714562644,48,0.00243904109885578
"1142","relative pitch",3,"+5_+0",127,0.00441393087507269,34,0.775558645437717,49,0.00237986318922573
"1143","relative pitch",3,"+3_+2",116,0.00440215275587114,26,0.779960798193588,50,0.00232327078055299
"1144","relative pitch",3,"-2_+10",152,0.00433907069312679,13,0.784299868886715,51,0.00226910264339942
"1145","relative pitch",3,"+7_-2",84,0.00430087976481422,17,0.788600748651529,52,0.00221721049709517
"1146","relative pitch",3,"+4_-2",122,0.00420845710672776,28,0.792809205758257,53,0.00216745774604944
