"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1516","relative rhythm",3,"x1.00_x1.00",10289,0.302040422215688,112,0.302040422215688,1,0.292125262227592
"1517","relative rhythm",3,"x1.00_x2.00",2796,0.0842325582876686,106,0.386272980503357,2,0.142021298112875
"1518","relative rhythm",3,"x2.00_x1.00",2472,0.07703814910832,106,0.463311129611677,3,0.0866856030494375
"1519","relative rhythm",3,"x0.50_x0.50",2641,0.0723979650008268,105,0.535709094612504,4,0.0595302113300811
"1520","relative rhythm",3,"x2.00_x2.00",1464,0.043806399028998,94,0.579515493641502,5,0.0439468214796107
"1521","relative rhythm",3,"x0.50_x1.00",1302,0.0393926221773998,68,0.618908115818902,6,0.0340692732461507
"1522","relative rhythm",3,"x1.00_x0.50",1204,0.0349778367406777,86,0.653885952559579,7,0.0273612633697925
"1523","relative rhythm",3,"x1.00_x3.00",638,0.0196276939934584,76,0.673513646553038,8,0.0225686547164489
"1524","relative rhythm",3,"x3.00_x1.00",455,0.0186117414956853,67,0.692125388048723,9,0.0190086512685569
"1525","relative rhythm",3,"x0.33_x0.33",497,0.0173594320093593,78,0.709484820058082,10,0.0162815031145865
"1526","relative rhythm",3,"x1.50_x0.50",343,0.0133056298109847,55,0.722790449869067,11,0.0141394707691663
"1527","relative rhythm",3,"x1.00_x4.00",400,0.0131346936907982,63,0.735925143559865,12,0.0124218222495595
"1528","relative rhythm",3,"x1.00_x1.50",391,0.0128826296978891,57,0.748807773257754,13,0.0110202663305424
"1529","relative rhythm",3,"x0.33_x0.67",291,0.0115531481895253,56,0.76036092144728,14,0.00985949940271593
"1530","relative rhythm",3,"x3.00_x2.00",349,0.0107024229886049,49,0.771063344435884,15,0.00888572943043061
"1531","relative rhythm",3,"x0.25_x0.25",249,0.0101831401673899,54,0.781246484603274,16,0.00805963050621389
"1532","relative rhythm",3,"x0.50_x1.50",342,0.00946438502997743,55,0.790710869633252,17,0.00735186706231263
"1533","relative rhythm",3,"x0.67_x0.67",290,0.00763330004414614,45,0.798344169677398,18,0.00674016496367357
"1534","relative rhythm",3,"x0.33_x1.00",125,0.00711925163986934,21,0.805463421317267,19,0.00620734444335271
"1535","relative rhythm",3,"x2.00_x3.00",248,0.00705909167322978,34,0.812522512990497,20,0.0057399683609416
"1536","relative rhythm",3,"x1.00_x6.00",144,0.00593554957312194,33,0.818458062563619,21,0.00532739414421566
"1537","relative rhythm",3,"x2.00_x4.00",147,0.00584884303764996,44,0.824306905601269,22,0.00496109658454065
"1538","relative rhythm",3,"x0.67_x0.33",245,0.00582006380586513,29,0.830126969407134,23,0.00463417606551278
"1539","relative rhythm",3,"x4.00_x2.00",152,0.00579826895638843,42,0.835925238363523,24,0.00434099607650633
"1540","relative rhythm",3,"x0.33_x1.33",90,0.00547395780110727,33,0.84139919616463,25,0.00407691236598668
"1541","relative rhythm",3,"x0.12_x0.25",21,0.00487968303597918,5,0.846278879200609,26,0.00383806803682957
"1542","relative rhythm",3,"x0.75_x0.25",84,0.00453940298724191,26,0.850818282187851,27,0.00362123675100108
"1543","relative rhythm",3,"x1.50_x1.50",212,0.00448393864438859,34,0.85530222083224,28,0.00342370148108816
"1544","relative rhythm",3,"x0.50_x0.25",128,0.00418554073054805,31,0.859487761562788,29,0.0032431598353241
"1545","relative rhythm",3,"x4.00_x1.00",141,0.0040982726528596,35,0.863586034215647,30,0.00307764946394363
"1546","relative rhythm",3,"x4.00_x4.00",79,0.00404915935971597,29,0.867635193575363,31,0.00292548879384013
"1547","relative rhythm",3,"x2.00_x0.50",95,0.0037559126477712,31,0.871391106223134,32,0.00278522957323846
"1548","relative rhythm",3,"x1.00_x0.67",150,0.00364422702472343,35,0.875035333247858,33,0.00265561859524285
"1549","relative rhythm",3,"x0.25_x0.75",61,0.00338685453048979,23,0.878422187778348,34,0.00253556661364456
"1550","relative rhythm",3,"x0.17_x0.17",90,0.00331963307408703,29,0.881741820852435,35,0.0024241229375203
"1551","relative rhythm",3,"x6.00_x2.00",75,0.00274957532192936,11,0.884491396174364,36,0.00232045454188302
"1552","relative rhythm",3,"x1.00_x5.00",91,0.002720073753354,20,0.887211469927718,37,0.00222382879401919
"1553","relative rhythm",3,"x1.00_x0.33",86,0.00248837705873696,26,0.889699846986455,38,0.00213359909311209
"1554","relative rhythm",3,"x3.00_x3.00",85,0.00243831045054067,23,0.892138157436996,39,0.0020491928713333
"1555","relative rhythm",3,"x5.00_x1.00",53,0.00230602991038502,20,0.894444187347381,40,0.00197010152000347
"1556","relative rhythm",3,"x3.00_x4.00",38,0.00227630480680449,16,0.896720492154185,41,0.00189587189353018
"1557","relative rhythm",3,"x1.00_x1.33",105,0.00225967027251215,22,0.898980162426697,42,0.00182609911309613
"1558","relative rhythm",3,"x0.88_x0.12",9,0.00211864406779661,1,0.901098806494494,43,0.00176042044626298
"1559","relative rhythm",3,"x0.20_x0.20",68,0.00203272661087059,18,0.903131533105364,44,0.00169851008131668
"1560","relative rhythm",3,"x1.00_x8.00",56,0.00189798288874503,16,0.905029515994109,45,0.0016400746489602
"1561","relative rhythm",3,"x1.33_x0.67",85,0.00189650603827351,18,0.906926022032383,46,0.00158484937085728
"1562","relative rhythm",3,"x1.50_x1.00",77,0.00187008876371063,18,0.908796110796094,47,0.00153259473606236
"1563","relative rhythm",3,"x0.50_x0.75",76,0.00186149477983789,18,0.910657605575931,48,0.00148309362369514
"1564","relative rhythm",3,"x2.00_x6.00",64,0.00178742320031925,19,0.912445028776251,49,0.00143614880422395
"1565","relative rhythm",3,"x4.00_x3.00",17,0.00178214967997418,10,0.914227178456225,50,0.00139158076309759
"1566","relative rhythm",3,"x0.12_x0.12",47,0.00174617550235352,14,0.915973353958578,51,0.00134922579974592
"1567","relative rhythm",3,"x6.00_x1.00",36,0.00167279329193396,16,0.917646147250512,52,0.0013089343625727
"1568","relative rhythm",3,"x1.00_x0.75",66,0.00166846122664983,21,0.919314608477162,53,0.00127056958681983
"1569","relative rhythm",3,"x0.14_x1.14",7,0.00164783427495292,1,0.920962442752115,54,0.00123400600734725
"1570","relative rhythm",3,"x8.00_x7.00",7,0.00164783427495292,1,0.922610277027068,55,0.00119912842265553
"1571","relative rhythm",3,"x3.00_x0.50",48,0.00153017536451156,19,0.92414045239158,56,0.00116583089004079
"1572","relative rhythm",3,"x0.50_x2.00",68,0.00143779920933446,18,0.925578251600914,57,0.00113401583474613
"1573","relative rhythm",3,"x0.33_x0.17",67,0.00141893907745861,11,0.926997190678373,58,0.00110359325846501
"1574","relative rhythm",3,"x0.67_x1.00",47,0.00140463698934625,7,0.928401827667719,59,0.0010744800346463
"1575","relative rhythm",3,"x7.00_x1.00",12,0.00138737057596029,6,0.929789198243679,60,0.00104659927981543
