"","type","length","name","instances","proportion","songs","proportion.cumulative","region.rank","region","global.rank","proportion.zm"
"1516","relative rhythm",3,"x1.00_x1.00",1746,0.247864616754488,20,0.247864616754488,1,"Africa",1,0.187270676580515
"1517","relative rhythm",3,"x1.00_x2.00",694,0.0944807158306286,20,0.342345332585117,2,"Africa",2,0.121368411588222
"1518","relative rhythm",3,"x0.50_x0.50",637,0.0802943449809008,19,0.422639677566018,3,"Africa",4,0.0859986808463086
"1519","relative rhythm",3,"x2.00_x1.00",607,0.0678515628976728,20,0.490491240463691,4,"Africa",3,0.0646209413633527
"1520","relative rhythm",3,"x2.00_x2.00",362,0.0456004366273862,20,0.536091677091077,5,"Africa",5,0.0506189370280893
"1521","relative rhythm",3,"x1.00_x0.50",339,0.0434695713903141,19,0.579561248481391,6,"Africa",7,0.040899464479597
"1522","relative rhythm",3,"x0.50_x1.00",291,0.0279410495549671,15,0.607502298036358,7,"Africa",6,0.0338493374491473
"1523","relative rhythm",3,"x1.00_x3.00",212,0.0255315791368433,17,0.633033877173201,8,"Africa",8,0.0285560317905913
"1524","relative rhythm",3,"x0.33_x0.33",160,0.0198270233686627,17,0.652860900541864,9,"Africa",10,0.0244698507006631
"1525","relative rhythm",3,"x1.00_x4.00",142,0.0167769323353604,15,0.669637832877224,10,"Africa",12,0.0212426076429419
"1526","relative rhythm",3,"x3.00_x1.00",134,0.0162612466361657,15,0.68589907951339,11,"Africa",9,0.0186445119714982
"1527","relative rhythm",3,"x0.50_x1.50",150,0.0150187615345496,16,0.70091784104794,12,"Africa",17,0.016518631118205
"1528","relative rhythm",3,"x0.33_x0.67",91,0.0114807671931763,12,0.712398608241116,13,"Africa",14,0.0147546400425944
"1529","relative rhythm",3,"x0.67_x0.67",77,0.0112203387341834,12,0.723618946975299,14,"Africa",18,0.0132730279386744
"1530","relative rhythm",3,"x3.00_x2.00",113,0.0110906851961369,13,0.734709632171436,15,"Africa",15,0.0120152432247141
"1531","relative rhythm",3,"x0.67_x0.33",114,0.010042066144875,7,0.744751698316311,16,"Africa",23,0.010937347000558
"1532","relative rhythm",3,"x2.00_x3.00",72,0.00974596935035271,9,0.754497667666664,17,"Africa",20,0.0100058118323308
"1533","relative rhythm",3,"x1.00_x1.50",87,0.00974282692939028,12,0.764240494596054,18,"Africa",13,0.00919467239718292
"1534","relative rhythm",3,"x1.50_x0.50",77,0.00866394768034439,11,0.772904442276399,19,"Africa",11,0.00848355092125642
"1535","relative rhythm",3,"x4.00_x1.00",81,0.00726057610759489,10,0.780165018383994,20,"Africa",30,0.00785626223851143
"1536","relative rhythm",3,"x1.00_x6.00",57,0.00715219216927572,12,0.787317210553269,21,"Africa",21,0.00729981111322191
"1537","relative rhythm",3,"x0.25_x0.25",52,0.00666697209426112,15,0.79398418264753,22,"Africa",16,0.00680366014431423
"1538","relative rhythm",3,"x1.50_x1.50",55,0.00622497226579279,11,0.800209154913323,23,"Africa",28,0.00635918757029585
"1539","relative rhythm",3,"x0.17_x0.17",34,0.00604755326273111,9,0.806256708176054,24,"Africa",35,0.00595928046449534
"1540","relative rhythm",3,"x2.00_x4.00",32,0.00537186519119687,11,0.811628573367251,25,"Africa",22,0.00559802585593609
"1541","relative rhythm",3,"x1.00_x0.67",34,0.00514018058826014,11,0.816768753955511,26,"Africa",33,0.00527047361963195
"1542","relative rhythm",3,"x0.75_x0.25",38,0.00508064056195922,6,0.821849394517471,27,"Africa",27,0.00497245261014415
"1543","relative rhythm",3,"x0.50_x0.25",31,0.00464528569292464,8,0.826494680210395,28,"Africa",29,0.00470042674098447
"1544","relative rhythm",3,"x0.50_x2.00",55,0.00440671221601653,8,0.830901392426412,29,"Africa",57,0.00445138134738309
"1545","relative rhythm",3,"x1.00_x0.75",37,0.00425687371726482,9,0.835158266143676,30,"Africa",53,0.0042227327306727
"1546","relative rhythm",3,"x0.33_x2.67",36,0.00418196526409143,5,0.839340231407768,31,"Africa",75,0.00401225560892011
"1547","relative rhythm",3,"x2.00_x6.00",39,0.00411586237266212,7,0.84345609378043,32,"Africa",49,0.00381802451611296
"1548","relative rhythm",3,"x1.00_x5.00",44,0.00400428993351467,5,0.847460383713945,33,"Africa",37,0.00363836615312833
"1549","relative rhythm",3,"x0.50_x3.00",52,0.00400200422845485,4,0.8514623879424,34,"Africa",66,0.00347182040153654
"1550","relative rhythm",3,"x0.75_x0.75",28,0.00390205529787562,8,0.855364443240275,35,"Africa",78,0.00331710823762173
"1551","relative rhythm",3,"x0.33_x0.17",49,0.00383180503916765,3,0.859196248279443,36,"Africa",58,0.00317310517885153
"1552","relative rhythm",3,"x0.33_x1.33",27,0.00376115437705251,7,0.862957402656495,37,"Africa",25,0.00303881919372279
"1553","relative rhythm",3,"x0.25_x0.50",48,0.00364639870887888,5,0.866603801365374,38,"Africa",63,0.0029133722336502
"1554","relative rhythm",3,"x0.12_x0.12",33,0.00356978413449869,5,0.870173585499873,39,"Africa",51,0.00279598472049942
"1555","relative rhythm",3,"x6.00_x2.00",46,0.00329412863495888,3,0.873467714134832,40,"Africa",36,0.00268596245868798
"1556","relative rhythm",3,"x5.00_x3.00",34,0.003172089234807,2,0.876639803369639,41,"Africa",83,0.00258268554615622
"1557","relative rhythm",3,"x6.00_x1.00",18,0.00312790043084792,7,0.879767703800487,42,"Africa",52,0.00248559894109301
"1558","relative rhythm",3,"x4.00_x2.00",21,0.00283080192717589,9,0.882598505727663,43,"Africa",24,0.00239420440640842
"1559","relative rhythm",3,"x8.00_x4.00",24,0.00278426966292135,2,0.885382775390584,44,"Africa",103,0.0023080536055709
"1560","relative rhythm",3,"x2.00_x0.67",19,0.00263253773132076,5,0.888015313121905,45,"Africa",67,0.002226742164585
"1561","relative rhythm",3,"x2.00_x1.50",18,0.002622800978061,6,0.890638114099966,46,"Africa",64,0.0021499045478706
"1562","relative rhythm",3,"x4.00_x4.00",22,0.00260398576361544,7,0.893242099863581,47,"Africa",31,0.00207720962237079
"1563","relative rhythm",3,"x0.60_x0.40",24,0.00230532756187856,3,0.89554742742546,48,"Africa",110,0.00200835680571389
"1564","relative rhythm",3,"x4.00_x0.50",25,0.00226181884736431,3,0.897809246272824,49,"Africa",71,0.00194307271173145
"1565","relative rhythm",3,"x3.00_x4.00",12,0.00225918124792568,4,0.90006842752075,50,"Africa",41,0.00188110822090311
"1566","relative rhythm",3,"x1.33_x1.33",13,0.00210117265017894,7,0.902169600170929,51,"Africa",62,0.00182223591499786
"1567","relative rhythm",3,"x3.00_x1.50",18,0.00208851406543304,7,0.904258114236362,52,"Africa",68,0.00176624782481142
"1568","relative rhythm",3,"x4.50_x1.50",11,0.00206377635046113,3,0.906321890586823,53,"Africa",114,0.00171295344785706
"1569","relative rhythm",3,"x1.00_x2.50",17,0.00204229243435975,7,0.908364183021182,54,"Africa",102,0.00166217799946752
"1570","relative rhythm",3,"x3.00_x0.50",15,0.00188891230216207,4,0.910253095323345,55,"Africa",56,0.00161376086625901
"1571","relative rhythm",3,"x1.00_x0.33",13,0.00188612530315513,6,0.9121392206265,56,"Africa",38,0.00156755423549685
"1572","relative rhythm",3,"x1.50_x1.00",15,0.001647812420333,4,0.913787033046833,57,"Africa",47,0.00152342187774701
"1573","relative rhythm",3,"x3.00_x3.00",12,0.00164665384148404,4,0.915433686888317,58,"Africa",39,0.00148123806342992
"1574","relative rhythm",3,"x1.00_x1.33",11,0.001618277705733,8,0.91705196459405,59,"Africa",42,0.00144088659661809
"1575","relative rhythm",3,"x1.33_x0.33",9,0.00159370657383658,3,0.918645671167886,60,"Africa",73,0.00140225995172431
"1576","relative rhythm",3,"x0.50_x0.38",13,0.00150359410984716,2,0.920149265277734,61,"Africa",115,0.00136525850068136
"1577","relative rhythm",3,"x0.10_x0.10",15,0.00146612262087936,4,0.921615387898613,62,"Africa",92,0.00132978981987732
"1578","relative rhythm",3,"x1.33_x0.67",10,0.00142583968633509,6,0.923041227584948,63,"Africa",46,0.00129576806752771
"1579","relative rhythm",3,"x0.12_x0.25",13,0.00141379198336906,2,0.924455019568317,64,"Africa",26,0.00126311342337806
"1580","relative rhythm",3,"x0.50_x2.50",13,0.00140897852819897,7,0.925863998096516,65,"Africa",87,0.0012317515836692
"1581","relative rhythm",3,"x0.67_x1.00",15,0.00138847616217493,2,0.927252474258691,66,"Africa",59,0.00120161330519022
"1582","relative rhythm",3,"x2.50_x1.50",11,0.00137894146608034,4,0.928631415724771,67,"Africa",128,0.00117263399301253
"1583","relative rhythm",3,"x2.50_x1.00",13,0.00135593784314378,2,0.929987353567915,68,"Africa",140,0.00114475332716212
"1584","relative rhythm",3,"x2.00_x0.50",10,0.0013088941262139,6,0.931296247694129,69,"Africa",32,0.00111791492406082
"1585","relative rhythm",3,"x8.00_x1.00",14,0.00129980230035921,3,0.932596049994488,70,"Africa",93,0.00109206602906512
"1586","relative rhythm",3,"x0.25_x0.75",12,0.00128086115221695,4,0.933876911146705,71,"Africa",34,0.00106715723686321
"1587","relative rhythm",3,"x0.50_x0.75",11,0.00125981580483848,6,0.935136726951544,72,"Africa",48,0.00104314223686716
