
================================================================================

DIMENSION 1

                                                        miss         freq   est   se     z
audience_logage                                    0.7362497           NA -0.49 0.05 -9.33
ceremony                                           0.3450839 0.6507782101 -0.31 0.04 -8.32
audience_logsize                                   0.6978127           NA -0.38 0.05 -8.28
ocm_religious.practices.religious.experiences.p... 0.1267785 0.3129863813 -0.36 0.04 -8.14
religious                                          0.0000000 0.2558929709 -0.29 0.04 -7.73
instrument                                         0.0000000 0.1696750903 -0.23 0.03 -7.37
singer_logage                                      0.6487577           NA -0.44 0.06 -7.23
appear                                             0.0000000 0.0596729667 -0.17 0.03 -6.33
ocm_dance                                          0.1267785 0.1468871595 -0.18 0.03 -6.30
trance                                             0.0000000 0.0250583988 -0.17 0.03 -6.05
singer_age_adult                                   0.6487577 0.6759371221 -0.25 0.04 -6.05
ocm_religious.beliefs.cosmology.spirits.gods.sa... 0.1267785 0.0717412451 -0.18 0.03 -5.95
singers_leader                                     0.5640263 0.2927423283 -0.20 0.04 -4.96
singers_multiple                                   0.3707794 0.6564292946 -0.11 0.02 -4.57
ocm_annual.cycle                                   0.1267785 0.0114299611 -0.09 0.02 -4.04
singer_sex_male                                    0.4582714 0.7056056448 -0.09 0.02 -3.96
ocm_gift.giving                                    0.1267785 0.0189688716 -0.11 0.03 -3.89
singers_dance                                      0.6808240 0.5469061876 -0.18 0.05 -3.86
ocm_status.role.and.prestige                       0.1267785 0.0517996109 -0.08 0.02 -3.77
ocm_sorcery.creating.sickness.or.bad.luck.         0.1267785 0.0097276265 -0.09 0.02 -3.73
ocm_drama                                          0.1267785 0.0104571984 -0.10 0.03 -3.60
audience_dance                                     0.7712890 0.3500464253 -0.21 0.06 -3.57
ocm_sickness.medical.care.and.shamans              0.1267785 0.0593385214 -0.07 0.02 -3.44
mimic                                              0.0000000 0.0407729879 -0.08 0.03 -3.15
ocm_recreational.and.non.therapeutic.drugs         0.1267785 0.0187256809 -0.06 0.02 -3.15
ocm_norms                                          0.1267785 0.0136186770 -0.07 0.02 -3.10
singer_age_elder                                   0.6487577 0.0725513906 -0.09 0.03 -2.93
ocm_puberty.and.initiation                         0.1267785 0.0445038911 -0.10 0.03 -2.85
ocm_spectacles                                     0.1267785 0.0890077821 -0.06 0.02 -2.82
time_0700.to.1000                                  0.8366957 0.1066319896 -0.44 0.16 -2.76
time_1400.to.1700                                  0.8366957 0.0715214564 -0.36 0.13 -2.75
time_0400.to.0700                                  0.8366957 0.1157347204 -0.39 0.14 -2.74
ocm_climate                                        0.1267785 0.0177529183 -0.06 0.02 -2.74
ocm_death.burials.funerals.mourning.               0.1267785 0.0948443580 -0.06 0.02 -2.69
ocm_buying.and.selling                             0.1267785 0.0075389105 -0.05 0.02 -2.49
