"dim","culture","mean.est","mean.cilo","mean.cihi","mean.pval","sd.est","sd.cilo","sd.cihi","distr.lo","distr.hi","other.culture.mean","other.nhs.region.mean","other.glotto.mean","other.world.mean","other.hraf.region.mean","other.hraf.subregion.mean","other.hraf.subsistence.mean","nhs_region","hraf_region","hraf_subregion","hraf_subsistence","ncites","npassages"
"q.1","NHS-C001",-0.182401487816524,-0.745352805717576,0.364812366863094,0.520666666666667,0.628740895628384,0.366656282191689,0.920266485300488,-1.48113351149456,1.05586225152659,0.000347319894547537,0.000739388382234997,-0.000589384268874984,0.178290399062287,-0.00464390677519657,0.000739388382234997,-0.0933953576316179,"NHS-R13","Oceania","Melanesia","intensive agriculturalists",4,13
"q.1","NHS-C002",-0.40286952349414,-0.601904518077893,-0.208436005003296,0,0.677701555334866,0.532108915090982,0.778450676684542,-1.69335192700819,1.01132865440007,0.0105771720254459,0.0105771720254459,0.00985517360956211,0.178290399062287,0.079772220300524,0.0105771720254459,0.0279339521798302,"NHS-R11","North America","Eastern Woodlands","horticulturalists",16,121
"q.1","NHS-C003",-0.543021547034942,-0.734255874784894,-0.347971034061269,0,0.590558705499979,0.473316100779984,0.695695160990054,-1.59686090960695,0.807959865213877,0.0149489001217326,0.0153732837849629,0.0129036534235062,-0.14708422177177,-0.0413319879785965,0.0153732837849629,0.0279339521798302,"NHS-R27","Africa","Southern Africa","horticulturalists",4,126
"q.1","NHS-C004",0.0316482770214559,-0.354481802652913,0.410677683102791,0.87,1.0746973502102,0.842870733311224,1.32091867035733,-1.58714027485255,2.99456254914878,-0.00031665409247962,-0.0360365418006223,-0.00199608958976128,-0.14708422177177,-0.0434365713739902,-0.0360365418006223,0.0279339521798302,"NHS-R24","Asia","South Asia","horticulturalists",9,29
"q.1","NHS-C006",-0.0445287871625492,-0.401221012555886,0.321727695909646,0.79925,0.89616873413718,0.696399355527811,1.13307193817122,-1.80409312811892,1.78869905286752,0.000271379810166821,0.000739388382234997,-0.0130947307997603,0.178290399062287,-0.00464390677519657,0.000739388382234997,0.0279339521798302,"NHS-R13","Oceania","Melanesia","horticulturalists",12,33
"q.1","NHS-C007",0.0901159954084096,-0.130532976932873,0.302801121520951,0.411333333333333,0.804977410734562,0.642803406743679,0.932846495911221,-1.50497483040613,1.7079954244133,-0.0021876817118082,-0.0021876817118082,-0.00320099706929925,-0.14708422177177,-0.0128500320641821,-0.0021876817118082,-0.00911829980841171,"NHS-R23","Europe","Scandinavia","pastoralists",10,100
"q.1","NHS-C008",0.0283640207385782,-0.450985773390395,0.515997145574436,0.9105,0.789187297264003,0.548038648907209,1.05589300761579,-1.45204684494228,1.56783005024361,-0.000180938782287508,-0.000832663912521485,-0.0130947307997603,-0.14708422177177,-0.0434365713739902,-0.000832663912521485,-0.0933953576316179,"NHS-R25","Asia","Southeast Asia","intensive agriculturalists",8,19
"q.1","NHS-C009",-0.113820463057872,-0.277728082946887,0.0516980790907523,0.17325,0.842832968192724,0.658941513023452,0.969118507284965,-1.70360225917718,1.550586809793,0.00404088124222427,0.00694180481563773,-0.00620615873210538,0.178290399062287,0.0283793752392557,0.00694180481563773,0.0101644048674332,"NHS-R01","South America","Amazon and Orinoco","other subsistence combinations",5,163
"q.1","NHS-C011",0.915792703955443,0.439447663365113,1.40708766877091,0.000166666666666648,1.36784099696227,1.10211628398147,1.65808990069028,-1.28180002982633,3.1428816218042,-0.00386886715110941,-0.050248831134394,-0.00490241031970614,-0.14708422177177,-0.0413319879785965,-0.050248831134394,-0.0933953576316179,"NHS-R30","Africa","Western Africa","intensive agriculturalists",5,19
"q.1","NHS-C014",0.276246333534949,0.0649331565835055,0.489622305573073,0.0110833333333333,0.900642547414612,0.739626372402363,1.04743720473829,-1.35683215396669,2.21717809686242,-0.00665002800669203,-0.00570273122349827,-0.0130947307997603,0.178290399062287,-0.00464390677519657,-0.00570273122349827,0.0279339521798302,"NHS-R22","Oceania","Polynesia","horticulturalists",13,106
