"feature.set","actual","predict.Dance","predict.Healing","predict.Love","predict.Lullaby"
"naive","Dance",23,2,4,1
"naive","Healing",10,1,9,8
"naive","Love",8,4,7,11
"naive","Lullaby",1,0,5,24
"mir","Dance",15,0,9,6
"mir","Healing",9,0,11,8
"mir","Love",11,1,8,10
"mir","Lullaby",4,1,5,20
"mir.panteli","Dance",12,3,10,5
"mir.panteli","Healing",10,6,5,7
"mir.panteli","Love",7,8,5,10
"mir.panteli","Lullaby",3,2,6,19
"expert","Dance",15,5,4,6
"expert","Healing",5,7,7,9
"expert","Love",9,2,10,9
"expert","Lullaby",3,2,6,19
"transcription","Dance",13,7,4,6
"transcription","Healing",6,6,5,11
"transcription","Love",6,2,14,8
"transcription","Lullaby",2,3,8,17
"nocontext","Dance",16,4,4,6
"nocontext","Healing",7,6,9,6
"nocontext","Love",8,3,11,8
"nocontext","Lullaby",1,1,8,20
