"feature.set","actual","predict.Dance","predict.Healing","predict.Love","predict.Lullaby"
"naive","Dance",21,2,6,1
"naive","Healing",9,0,11,8
"naive","Love",7,4,7,12
"naive","Lullaby",2,1,7,20
"mir","Dance",13,6,7,4
"mir","Healing",10,0,10,8
"mir","Love",7,5,8,10
"mir","Lullaby",3,3,6,18
"mir.panteli","Dance",14,5,5,6
"mir.panteli","Healing",8,3,6,11
"mir.panteli","Love",9,5,7,9
"mir.panteli","Lullaby",3,3,5,19
"expert","Dance",16,2,5,7
"expert","Healing",8,5,7,8
"expert","Love",7,4,10,9
"expert","Lullaby",2,1,7,20
"transcription","Dance",13,7,4,6
"transcription","Healing",9,7,4,8
"transcription","Love",8,3,12,7
"transcription","Lullaby",5,6,6,13
"nocontext","Dance",19,3,2,6
"nocontext","Healing",7,8,6,7
"nocontext","Love",7,3,12,8
"nocontext","Lullaby",0,2,7,21
