"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",5.8336,2,10,0.0076,"CHILDREN","afro1255",64
"ANY","nhs",13,NA,NA,NA,"CHILDREN","afro1255",64
"ANY","null",4.7344,1,9,0.6644,"CHILDREN","algi1248",60
"ANY","nhs",6,NA,NA,NA,"CHILDREN","algi1248",60
"ANY","null",2.6798,0,6,0.5476,"CHILDREN","atha1245",23
"ANY","nhs",4,NA,NA,NA,"CHILDREN","atha1245",23
"ANY","null",5.9448,2,11,0.0112,"CHILDREN","atla1278",134
"ANY","nhs",13,NA,NA,NA,"CHILDREN","atla1278",134
"ANY","null",4.906,1,9,0.5036,"CHILDREN","aust1305",25
"ANY","nhs",4,NA,NA,NA,"CHILDREN","aust1305",25
"ANY","null",3.5492,1,8,0,"CHILDREN","aust1307",48
"ANY","nhs",13,NA,NA,NA,"CHILDREN","aust1307",48
"ANY","null",0.9618,0,3,0.5064,"CHILDREN","ayma1253",11
"ANY","nhs",2,NA,NA,NA,"CHILDREN","ayma1253",11
"ANY","null",0.4592,0,2,0,"CHILDREN","boro1281",10
"ANY","nhs",0,NA,NA,NA,"CHILDREN","boro1281",10
"ANY","null",2.0016,0,5,0,"CHILDREN","chib1249",34
"ANY","nhs",0,NA,NA,NA,"CHILDREN","chib1249",34
"ANY","null",2.3226,0,6,0,"CHILDREN","chon1288",6
"ANY","nhs",0,NA,NA,NA,"CHILDREN","chon1288",6
"ANY","null",0.649,0,2,0,"CHILDREN","chuk1271",9
"ANY","nhs",8,NA,NA,NA,"CHILDREN","chuk1271",9
"ANY","null",30.4006,21,40,0,"CHILDREN","dogo1299",18
"ANY","nhs",58,NA,NA,NA,"CHILDREN","dogo1299",18
"ANY","null",2.684,1,5,0.0052,"CHILDREN","eski1264",19
"ANY","nhs",7,NA,NA,NA,"CHILDREN","eski1264",19
"ANY","null",2.509,0,6,0.2068,"CHILDREN","indo1319",68
"ANY","nhs",5,NA,NA,NA,"CHILDREN","indo1319",68
"ANY","null",3.6102,0,7,0.5756,"CHILDREN","kore1284",42
"ANY","nhs",5,NA,NA,NA,"CHILDREN","kore1284",42
"ANY","null",0.0276,0,1,0,"CHILDREN","mata1289",6
"ANY","nhs",0,NA,NA,NA,"CHILDREN","mata1289",6
"ANY","null",0.3354,0,2,0.0884,"CHILDREN","maya1287",7
"ANY","nhs",2,NA,NA,NA,"CHILDREN","maya1287",7
"ANY","null",0.2916,0,2,0.0612,"CHILDREN","nilo1247",9
"ANY","nhs",2,NA,NA,NA,"CHILDREN","nilo1247",9
"ANY","null",0.1794,0,1,0,"CHILDREN","saha1256",8
"ANY","nhs",0,NA,NA,NA,"CHILDREN","saha1256",8
