"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",42.65,32,54,0,"CHILDREN","Africa",233
"ANY","nhs",86,NA,NA,NA,"CHILDREN","Africa",233
"ANY","null",14.2244,8,22,0,"CHILDREN","Asia",215
"ANY","nhs",34,NA,NA,NA,"CHILDREN","Asia",215
"ANY","null",2.8006,0,6,0.9268,"CHILDREN","Europe",62
"ANY","nhs",3,NA,NA,NA,"CHILDREN","Europe",62
"ANY","null",1.4734,0,4,0.8616,"CHILDREN","Middle America and the Caribbean",37
"ANY","nhs",2,NA,NA,NA,"CHILDREN","Middle America and the Caribbean",37
"ANY","null",0.1764,0,1,0,"CHILDREN","Middle East",6
"ANY","nhs",0,NA,NA,NA,"CHILDREN","Middle East",6
"ANY","null",10.0982,5,16,0.0332,"CHILDREN","North America",102
"ANY","nhs",17,NA,NA,NA,"CHILDREN","North America",102
"ANY","null",7.6432,3,13,0.2284,"CHILDREN","South America",88
"ANY","nhs",5,NA,NA,NA,"CHILDREN","South America",88
"ANY","null",98.05,83,113,0,"DANCE","Africa",233
"ANY","nhs",285,NA,NA,NA,"DANCE","Africa",233
"ANY","null",35.994,25,47,0,"DANCE","Asia",215
"ANY","nhs",162,NA,NA,NA,"DANCE","Asia",215
"ANY","null",1.9174,0,5,0,"DANCE","Europe",62
"ANY","nhs",20,NA,NA,NA,"DANCE","Europe",62
"ANY","null",6.0996,2,11,0,"DANCE","Middle America and the Caribbean",37
"ANY","nhs",17,NA,NA,NA,"DANCE","Middle America and the Caribbean",37
"ANY","null",0.2074,0,1,0.0016,"DANCE","Middle East",6
"ANY","nhs",3,NA,NA,NA,"DANCE","Middle East",6
"ANY","null",75.7278,61.975,90,0,"DANCE","North America",102
"ANY","nhs",284,NA,NA,NA,"DANCE","North America",102
"ANY","null",30.5886,21,41,0,"DANCE","South America",88
"ANY","nhs",183,NA,NA,NA,"DANCE","South America",88
"ANY","null",204.6418,179,231,0,"RELIGION","Africa",233
"ANY","nhs",287,NA,NA,NA,"RELIGION","Africa",233
"ANY","null",472.514,439,507,0,"RELIGION","Asia",215
"ANY","nhs",601,NA,NA,NA,"RELIGION","Asia",215
"ANY","null",27.241,17,38,0,"RELIGION","Europe",62
"ANY","nhs",93,NA,NA,NA,"RELIGION","Europe",62
"ANY","null",73.0778,57,90,0,"RELIGION","Middle America and the Caribbean",37
"ANY","nhs",146,NA,NA,NA,"RELIGION","Middle America and the Caribbean",37
"ANY","null",0.6874,0,3,0.3156,"RELIGION","Middle East",6
"ANY","nhs",2,NA,NA,NA,"RELIGION","Middle East",6
"ANY","null",429.5418,392,467,0,"RELIGION","North America",102
"ANY","nhs",608,NA,NA,NA,"RELIGION","North America",102
"ANY","null",150.2844,126,176,0,"RELIGION","South America",88
"ANY","nhs",351,NA,NA,NA,"RELIGION","South America",88
"ANY","null",43.9254,31,57,0.6204,"HEALING","Africa",233
"ANY","nhs",41,NA,NA,NA,"HEALING","Africa",233
"ANY","null",188.7994,167,211,0,"HEALING","Asia",215
"ANY","nhs",256,NA,NA,NA,"HEALING","Asia",215
"ANY","null",14.1262,7,22,0.0048,"HEALING","Europe",62
"ANY","nhs",27,NA,NA,NA,"HEALING","Europe",62
"ANY","null",88.2402,71,106,0,"HEALING","Middle America and the Caribbean",37
"ANY","nhs",186,NA,NA,NA,"HEALING","Middle America and the Caribbean",37
"ANY","null",0.1762,0,2,0,"HEALING","Middle East",6
"ANY","nhs",0,NA,NA,NA,"HEALING","Middle East",6
"ANY","null",250.0206,221,280,0,"HEALING","North America",102
"ANY","nhs",339,NA,NA,NA,"HEALING","North America",102
"ANY","null",89.2628,72,108,0,"HEALING","South America",88
"ANY","nhs",198,NA,NA,NA,"HEALING","South America",88
"ANY","null",9.5136,4,15.0249999999996,0.0216,"LULLABIES","Africa",233
"ANY","nhs",17,NA,NA,NA,"LULLABIES","Africa",233
"ANY","null",4.121,1,8,4e-04,"LULLABIES","Asia",215
"ANY","nhs",14,NA,NA,NA,"LULLABIES","Asia",215
"ANY","null",1.7798,0,5,0.9324,"LULLABIES","Europe",62
"ANY","nhs",2,NA,NA,NA,"LULLABIES","Europe",62
"ANY","null",0.7534,0,3,0.0728,"LULLABIES","Middle America and the Caribbean",37
"ANY","nhs",3,NA,NA,NA,"LULLABIES","Middle America and the Caribbean",37
"ANY","null",0.1354,0,1,0,"LULLABIES","Middle East",6
"ANY","nhs",0,NA,NA,NA,"LULLABIES","Middle East",6
"ANY","null",9.6314,4,15,0.708,"LULLABIES","North America",102
