"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",2.0214,0,5,0.6564,"CHILDREN","NHS-R01",28
"ANY","nhs",3,NA,NA,NA,"CHILDREN","NHS-R01",28
"ANY","null",3.999,1,7,0.0444,"CHILDREN","NHS-R02",51
"ANY","nhs",8,NA,NA,NA,"CHILDREN","NHS-R02",51
"ANY","null",0.4774,0,2,0,"CHILDREN","NHS-R04",19
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R04",19
"ANY","null",3.2558,0,7,0.8276,"CHILDREN","NHS-R05",27
"ANY","nhs",4,NA,NA,NA,"CHILDREN","NHS-R05",27
"ANY","null",0.5774,0,2,0,"CHILDREN","NHS-R06",23
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R06",23
"ANY","null",0.9618,0,3,0.5064,"CHILDREN","NHS-R07",11
"ANY","nhs",2,NA,NA,NA,"CHILDREN","NHS-R07",11
"ANY","null",3.9858,1,8,0.7236,"CHILDREN","NHS-R08",74
"ANY","nhs",5,NA,NA,NA,"CHILDREN","NHS-R08",74
"ANY","null",2.346,0,6,0.0192,"CHILDREN","NHS-R09",60
"ANY","nhs",7,NA,NA,NA,"CHILDREN","NHS-R09",60
"ANY","null",0.8856,0,3,0,"CHILDREN","NHS-R10",26
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R10",26
"ANY","null",0.3354,0,2,0.0884,"CHILDREN","NHS-R12",7
"ANY","nhs",2,NA,NA,NA,"CHILDREN","NHS-R12",7
"ANY","null",0.1764,0,1,0,"CHILDREN","NHS-R15",6
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R15",6
"ANY","null",0.9832,0,3,0,"CHILDREN","NHS-R16",22
"ANY","nhs",10,NA,NA,NA,"CHILDREN","NHS-R16",22
"ANY","null",0.9804,0,3,0.7144,"CHILDREN","NHS-R17",14
"ANY","nhs",1,NA,NA,NA,"CHILDREN","NHS-R17",14
"ANY","null",0.5606,0,2,0,"CHILDREN","NHS-R18",7
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R18",7
"ANY","null",2.6798,0,6,0.5476,"CHILDREN","NHS-R19",23
"ANY","nhs",4,NA,NA,NA,"CHILDREN","NHS-R19",23
"ANY","null",1.4242,0,4,0,"CHILDREN","NHS-R20",11
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R20",11
"ANY","null",3.4194,0,7,0.5076,"CHILDREN","NHS-R21",28
"ANY","nhs",5,NA,NA,NA,"CHILDREN","NHS-R21",28
"ANY","null",1.4596,0,4,0.4392,"CHILDREN","NHS-R23",18
"ANY","nhs",1,NA,NA,NA,"CHILDREN","NHS-R23",18
"ANY","null",5.294,2,10,0.7292,"CHILDREN","NHS-R24",51
"ANY","nhs",5,NA,NA,NA,"CHILDREN","NHS-R24",51
"ANY","null",3.9614,1,8,0,"CHILDREN","NHS-R25",68
"ANY","nhs",14,NA,NA,NA,"CHILDREN","NHS-R25",68
"ANY","null",0.8636,0,3,0.4304,"CHILDREN","NHS-R26",25
"ANY","nhs",2,NA,NA,NA,"CHILDREN","NHS-R26",25
"ANY","null",0.1472,0,1,0,"CHILDREN","NHS-R27",18
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R27",18
"ANY","null",2.3502,0,6,0,"CHILDREN","NHS-R28",12
"ANY","nhs",0,NA,NA,NA,"CHILDREN","NHS-R28",12
"ANY","null",35.9206,26,46,0,"CHILDREN","NHS-R30",114
"ANY","nhs",74,NA,NA,NA,"CHILDREN","NHS-R30",114
"ANY","null",10.2982,5,17,0,"DANCE","NHS-R01",28
"ANY","nhs",81,NA,NA,NA,"DANCE","NHS-R01",28
"ANY","null",16.3938,12,22,0,"DANCE","NHS-R02",51
"ANY","nhs",54,NA,NA,NA,"DANCE","NHS-R02",51
"ANY","null",0.3948,0,2,0.6668,"DANCE","NHS-R04",19
"ANY","nhs",1,NA,NA,NA,"DANCE","NHS-R04",19
"ANY","null",22.9814,17,29,0,"DANCE","NHS-R05",27
"ANY","nhs",63,NA,NA,NA,"DANCE","NHS-R05",27
"ANY","null",2.6212,0,6,0.0788,"DANCE","NHS-R06",23
"ANY","nhs",6,NA,NA,NA,"DANCE","NHS-R06",23
"ANY","null",1.7584,0,5,0,"DANCE","NHS-R07",11
"ANY","nhs",14,NA,NA,NA,"DANCE","NHS-R07",11
"ANY","null",3.882,1,8,0,"DANCE","NHS-R08",74
"ANY","nhs",16,NA,NA,NA,"DANCE","NHS-R08",74
"ANY","null",4.623,2,8,0,"DANCE","NHS-R09",60
"ANY","nhs",35,NA,NA,NA,"DANCE","NHS-R09",60
"ANY","null",3.6106,1,8,0,"DANCE","NHS-R10",26
"ANY","nhs",26,NA,NA,NA,"DANCE","NHS-R10",26
"ANY","null",0.0712,0,1,0,"DANCE","NHS-R12",7
"ANY","nhs",0,NA,NA,NA,"DANCE","NHS-R12",7
"ANY","null",0.2074,0,1,0.0016,"DANCE","NHS-R15",6
"ANY","nhs",3,NA,NA,NA,"DANCE","NHS-R15",6
"ANY","null",1.9042,0,5,0,"DANCE","NHS-R16",22
"ANY","nhs",23,NA,NA,NA,"DANCE","NHS-R16",22
"ANY","null",0.6144,0,2,0,"DANCE","NHS-R17",14
"ANY","nhs",9,NA,NA,NA,"DANCE","NHS-R17",14
"ANY","null",3.4072,0,7,8e-04,"DANCE","NHS-R18",7
"ANY","nhs",11,NA,NA,NA,"DANCE","NHS-R18",7
"ANY","null",23.71,15,33,0,"DANCE","NHS-R19",23
"ANY","nhs",131,NA,NA,NA,"DANCE","NHS-R19",23
"ANY","null",5.1666,2,9,0,"DANCE","NHS-R20",11
"ANY","nhs",21,NA,NA,NA,"DANCE","NHS-R20",11
"ANY","null",35.624,26,46,0,"DANCE","NHS-R21",28
"ANY","nhs",99,NA,NA,NA,"DANCE","NHS-R21",28
"ANY","null",0.2672,0,1,0,"DANCE","NHS-R23",18
"ANY","nhs",6,NA,NA,NA,"DANCE","NHS-R23",18
"ANY","null",25.1522,16,34,0,"DANCE","NHS-R24",51
"ANY","nhs",89,NA,NA,NA,"DANCE","NHS-R24",51
"ANY","null",5.0556,1,10,0,"DANCE","NHS-R25",68
"ANY","nhs",34,NA,NA,NA,"DANCE","NHS-R25",68
"ANY","null",1.2554,0,4,0,"DANCE","NHS-R26",25
"ANY","nhs",13,NA,NA,NA,"DANCE","NHS-R26",25
"ANY","null",9.0696,4,14,0,"DANCE","NHS-R27",18
"ANY","nhs",25,NA,NA,NA,"DANCE","NHS-R27",18
"ANY","null",9.7548,4,16,0,"DANCE","NHS-R28",12
"ANY","nhs",41,NA,NA,NA,"DANCE","NHS-R28",12
"ANY","null",60.7616,49,73,0,"DANCE","NHS-R30",114
"ANY","nhs",153,NA,NA,NA,"DANCE","NHS-R30",114
"ANY","null",37.9768,26,50,0,"RELIGION","NHS-R01",28
"ANY","nhs",79,NA,NA,NA,"RELIGION","NHS-R01",28
"ANY","null",68.1166,54,83,0,"RELIGION","NHS-R02",51
"ANY","nhs",143,NA,NA,NA,"RELIGION","NHS-R02",51
"ANY","null",5.192,1,10,0.002,"RELIGION","NHS-R04",19
"ANY","nhs",14,NA,NA,NA,"RELIGION","NHS-R04",19
"ANY","null",24.45,16,33,0.0148,"RELIGION","NHS-R05",27
"ANY","nhs",36,NA,NA,NA,"RELIGION","NHS-R05",27
"ANY","null",63.4526,48,79,0,"RELIGION","NHS-R06",23
"ANY","nhs",116,NA,NA,NA,"RELIGION","NHS-R06",23
"ANY","null",7.7734,3,14,0.184,"RELIGION","NHS-R07",11
"ANY","nhs",12,NA,NA,NA,"RELIGION","NHS-R07",11
"ANY","null",77.7054,62,94,0.0092,"RELIGION","NHS-R08",74
"ANY","nhs",100,NA,NA,NA,"RELIGION","NHS-R08",74
"ANY","null",24.2864,16,34,0,"RELIGION","NHS-R09",60
"ANY","nhs",61,NA,NA,NA,"RELIGION","NHS-R09",60
"ANY","null",39.513,25,55,0,"RELIGION","NHS-R10",26
"ANY","nhs",76,NA,NA,NA,"RELIGION","NHS-R10",26
"ANY","null",1.851,0,5,0,"RELIGION","NHS-R12",7
"ANY","nhs",0,NA,NA,NA,"RELIGION","NHS-R12",7
"ANY","null",0.6874,0,3,0.3156,"RELIGION","NHS-R15",6
"ANY","nhs",2,NA,NA,NA,"RELIGION","NHS-R15",6
"ANY","null",28.406,19,38,0,"RELIGION","NHS-R16",22
"ANY","nhs",73,NA,NA,NA,"RELIGION","NHS-R16",22
"ANY","null",2.763,0,7,0.3264,"RELIGION","NHS-R17",14
"ANY","nhs",5,NA,NA,NA,"RELIGION","NHS-R17",14
"ANY","null",7.7742,3,14,0,"RELIGION","NHS-R18",7
"ANY","nhs",30,NA,NA,NA,"RELIGION","NHS-R18",7
"ANY","null",156.1952,132,182,0.0872,"RELIGION","NHS-R19",23
"ANY","nhs",179,NA,NA,NA,"RELIGION","NHS-R19",23
"ANY","null",27.1634,18,37,0,"RELIGION","NHS-R20",11
"ANY","nhs",45,NA,NA,NA,"RELIGION","NHS-R20",11
"ANY","null",205.23,181.975,230,0,"RELIGION","NHS-R21",28
"ANY","nhs",286,NA,NA,NA,"RELIGION","NHS-R21",28
"ANY","null",16.0718,9,25,0,"RELIGION","NHS-R23",18
"ANY","nhs",76,NA,NA,NA,"RELIGION","NHS-R23",18
"ANY","null",99.6028,81,118,0.7552,"RELIGION","NHS-R24",51
"ANY","nhs",103,NA,NA,NA,"RELIGION","NHS-R24",51
"ANY","null",266.7998,244,290,0,"RELIGION","NHS-R25",68
"ANY","nhs",325,NA,NA,NA,"RELIGION","NHS-R25",68
"ANY","null",5.9772,2,11,0.1376,"RELIGION","NHS-R26",25
"ANY","nhs",3,NA,NA,NA,"RELIGION","NHS-R26",25
"ANY","null",18.1312,11,26,0.6964,"RELIGION","NHS-R27",18
"ANY","nhs",17,NA,NA,NA,"RELIGION","NHS-R27",18
"ANY","null",37.8578,26,51,0,"RELIGION","NHS-R28",12
"ANY","nhs",139,NA,NA,NA,"RELIGION","NHS-R28",12
"ANY","null",135.0112,114,156,0.002,"RELIGION","NHS-R30",114
"ANY","nhs",168,NA,NA,NA,"RELIGION","NHS-R30",114
"ANY","null",17.8394,10,27,0,"HEALING","NHS-R01",28
"ANY","nhs",43,NA,NA,NA,"HEALING","NHS-R01",28
"ANY","null",36.1564,25,48,0,"HEALING","NHS-R02",51
"ANY","nhs",89,NA,NA,NA,"HEALING","NHS-R02",51
"ANY","null",0.2778,0,2,0,"HEALING","NHS-R04",19
"ANY","nhs",0,NA,NA,NA,"HEALING","NHS-R04",19
"ANY","null",6.5352,2,12,0.6828,"HEALING","NHS-R05",27
"ANY","nhs",8,NA,NA,NA,"HEALING","NHS-R05",27
"ANY","null",78.6092,62,95,0,"HEALING","NHS-R06",23
"ANY","nhs",158,NA,NA,NA,"HEALING","NHS-R06",23
"ANY","null",1.5134,0,4,0,"HEALING","NHS-R07",11
"ANY","nhs",0,NA,NA,NA,"HEALING","NHS-R07",11
"ANY","null",41.555,30,53,8e-04,"HEALING","NHS-R08",74
"ANY","nhs",62,NA,NA,NA,"HEALING","NHS-R08",74
"ANY","null",11.0846,5,18,0.4556,"HEALING","NHS-R09",60
"ANY","nhs",9,NA,NA,NA,"HEALING","NHS-R09",60
"ANY","null",25.0792,15.975,36,0.9172,"HEALING","NHS-R10",26
"ANY","nhs",26,NA,NA,NA,"HEALING","NHS-R10",26
"ANY","null",1.6534,0,5,0,"HEALING","NHS-R12",7
"ANY","nhs",0,NA,NA,NA,"HEALING","NHS-R12",7
"ANY","null",0.1762,0,2,0,"HEALING","NHS-R15",6
"ANY","nhs",0,NA,NA,NA,"HEALING","NHS-R15",6
"ANY","null",22.7848,15,31,0,"HEALING","NHS-R16",22
"ANY","nhs",69,NA,NA,NA,"HEALING","NHS-R16",22
"ANY","null",1.602,0,4,0.366,"HEALING","NHS-R17",14
"ANY","nhs",1,NA,NA,NA,"HEALING","NHS-R17",14
"ANY","null",7.9776,3,14,0,"HEALING","NHS-R18",7
"ANY","nhs",28,NA,NA,NA,"HEALING","NHS-R18",7
"ANY","null",139.7508,118,162,0.3596,"HEALING","NHS-R19",23
"ANY","nhs",151,NA,NA,NA,"HEALING","NHS-R19",23
"ANY","null",4.3094,1,9,0.0524,"HEALING","NHS-R20",11
"ANY","nhs",9,NA,NA,NA,"HEALING","NHS-R20",11
"ANY","null",74.1134,59.975,90,0.0024,"HEALING","NHS-R21",28
"ANY","nhs",99,NA,NA,NA,"HEALING","NHS-R21",28
"ANY","null",6.989,2,13,0,"HEALING","NHS-R23",18
"ANY","nhs",22,NA,NA,NA,"HEALING","NHS-R23",18
"ANY","null",24.1556,15,35,0.00960000000000005,"HEALING","NHS-R24",51
"ANY","nhs",13,NA,NA,NA,"HEALING","NHS-R24",51
