"category","null.count","null.cilo","null.cihi","nhs.count","p","p.adj"
"CHILDREN",2333.7436,2190,2483,3119,0,0
"DANCE",1652.1562,1528,1780.025,6356,0,0
"RELIGION",3387.89,3222,3562,5505,0,0
"MUSIC",512.3064,458,568.025,660,0,0
"HEALING",1880.9516,1748,2020,2986,0,0
"LULLABIES",413.2788,354,476,567,0,0
"LOVE",586.6694,527,648,1179,0,0
"PLAY",1792.6008,1668,1925,2967,0,0
"PROCESSION",1078.6718,1003,1155,2010,0,0
"MOURNING",1981.227,1857.975,2106.025,3101,0,0
"WORK",2355.7264,2223,2489,2550,0.0044,0.0166632152541392
"STORYTELLING",1524.6396,1419,1633,2015,0,0
"PRAISE",221.4296,192,253,357,0,0
"GREETING",811.8122,745,880,1232,0,0
"WAR",1462.1154,1358,1571,2087,0,0
"MARRIAGE",1846.7348,1713.975,1988,1838,0.9016,1
"ENTERTAINMENT",197.1876,168,227,556,0,0
"GROUPBONDING",931.0798,864,1000,1041,0.0016,0.00677221582521164
"EMOTION",458.8454,411,507,537,0.0028,0.0111929678222248
"RITUAL",2379.5012,2248,2517,4404,0,0
