"feature.set","actual","predict.Dance","predict.Healing","predict.Love","predict.Lullaby"
"naive","Dance",22,3,4,1
"naive","Healing",9,2,9,8
"naive","Love",7,4,7,12
"naive","Lullaby",1,0,7,22
"mir","Dance",18,0,8,4
"mir","Healing",10,0,10,8
"mir","Love",11,2,7,10
"mir","Lullaby",6,1,3,20
"mir.panteli","Dance",11,5,10,4
"mir.panteli","Healing",6,11,4,7
"mir.panteli","Love",8,5,8,9
"mir.panteli","Lullaby",2,3,5,20
"expert","Dance",17,5,1,7
"expert","Healing",6,8,5,9
"expert","Love",9,4,8,9
"expert","Lullaby",0,3,8,19
"transcription","Dance",15,7,3,5
"transcription","Healing",5,8,5,10
"transcription","Love",7,4,12,7
"transcription","Lullaby",3,5,8,14
"nocontext","Dance",18,4,2,6
"nocontext","Healing",7,9,5,7
"nocontext","Love",8,4,12,6
"nocontext","Lullaby",0,1,8,21
