"country_code","station","date","score.1","score.2","score.3"
"LU","LUE00100947",1989,-0.658967291107129,0.0562170080441981,0.341825206697509
"LH","LH000026509",2003,-1.10686667672577,0.324925001384906,-0.159268427779044
"IR","IRM00040718",1951,0.0332155154416939,-0.477179102358673,0.999905883659313
"LH","LH000026728",1940,-0.562257113564277,0.235703405167464,0.301824044630639
"NZ","NZ000937470",1957,-0.467918026700796,-0.164297623638647,1.35134588770093
"NZ","NZ000936150",1989,-0.234117645938061,-0.0755712338084133,1.55817417906883
"KE","KE000063723",2009,1.09949713849896,0.280413408828401,-0.25277710966226
"IC","IC000004063",1976,-1.33395339483198,0.675870199939577,-0.514146799371718
"ZI","ZI000067843",1989,0.755495326494894,0.326895862697199,-0.201363947584257
"ZI","ZI000067983",1965,0.556855714769578,0.261816656369993,0.0470405607147865
"MU","MUM00041246",2014,1.183316725745,0.194185726378245,-0.454799166058659
"SZ","SZ000009480",2002,0.0485742030344684,-0.643983982296484,0.559161184115365
"TU","TU000017240",1964,0.118727853063752,0.221139800796019,0.0177578938668635
"ZA","ZA000067541",1967,0.220173631032442,-0.0894615533756142,-0.176239494535785
"SZ","SZE00105086",1995,-0.310751852354628,0.100197134939518,0.169872808423296
"TU","TUM00017237",2011,0.5960825007376,0.436830949583004,-0.0175083654501691
"LH","LH000026620",1978,-1.1606107189425,0.0128889749241246,0.644548865388899
"LG","LG000026447",1985,-0.624734245861312,-0.375814090541983,0.299179590483713
"IR","IR000408570",2012,0.731227334139806,1.41604325287826,0.100260215494356
"TS","TS000060725",1987,0.609661613727972,0.586285803913928,-0.255890924906412
"SZ","SZ000009480",2016,0.020401601213978,-0.00442923932451993,0.0426939150473584
"EI","EIE00107762",1962,-0.599734635340414,-0.76366014480491,1.9324689460705
"BK","BKM00014652",1904,-1.79037432201349,-0.492398895569479,-0.313333496820094
"LG","LG000026339",1968,-0.213289413801396,-0.213131535304569,0.0687082345735393
"TU","TU000017040",1978,0.113881063949455,-0.70106769907704,0.48074404142573
"TO","TO000005387",1979,1.14533369995656,-0.0251488741391138,-0.359849839968954
"IC","IC000004097",1993,-1.2111578337205,-1.26291423342755,-0.219690594951291
"SZ","SZ000009480",1921,0.0749809212528562,0.0443935645582572,0.590512047094431
"TO","TO000005376",1958,1.01632713476096,0.142854912915926,-0.0585087522229076
"LU","LUE00100953",1988,-0.951107737036184,-0.538220257543503,0.525603275783182
"TS","TSE00147775",1952,0.529678620054492,1.16647122070268,-0.0680791402490499
"CY","CYE00100074",1901,0.409650220905724,1.50250259955911,0.636614646208779
"ZA","ZA000067541",1979,0.730703693265689,-0.173499264785094,-0.429144856522656
"KE","KE000063740",1970,0.951363021181188,0.362886628873805,-0.519499563865167
"NF","NFM00094996",1957,0.201807333790593,-0.851176483029184,0.498658432503858
"ZI","ZI000067775",1967,0.486659259073071,0.202095964074077,0.410544600433135
"GT","GT000060100",1983,-0.0341228063278596,-0.198255967515559,0.0253032572913731
"SZ","SZ000006717",1940,0.0913655726047757,-1.18942756242889,-0.174985664542474
"KE","KE000063740",1997,0.538340169229862,0.0802339586413223,-0.325210647832607
"ZA","ZA000067551",1974,0.358046833649374,-0.457865867640512,-0.230788786151042
"TU","TU000017090",2003,-0.440135292675193,0.590408899039324,-0.587288464395128
"UV","UV000065516",1985,1.06804745801946,0.511143379487464,-0.179445728523188
"IR","IRM00040769",2017,0.11767423808489,1.29062866126487,-0.247055491952542
"EI","EI000003980",1933,-0.202802408467057,-0.401463809192994,1.47449873647557
"EI","EIE00101859",1945,-1.08491848649104,0.364800609953996,0.187132023444848
"FP","FP000091929",2007,0.259370564438153,-1.18071400408586,-0.273534270797957
"RP","RP000098429",1979,2.22543588332789,0.264933825948574,-1.30477336531629
"RP","RP000986370",1976,1.12923831959038,-0.302202963650771,-0.362807332831783
"LH","LH000026633",1984,-0.94304293829814,0.103647330060466,0.606503056242117
"NH","NHM00091551",1992,1.15104017369135,-1.32078497022685,-0.807971972607426
"LU","LU000006590",2010,-0.600834515457493,0.251016465132067,0.070096915542132
"LG","LG000026544",1981,-1.16960043865927,-0.206466943078386,0.581245293236637
