song,type,region,bpca1,bpca2
1,Lullaby,NHS-R03,-3.4494317,-.1172635
2,Healing,NHS-R13,-.26471737,-1.8413907
3,Lullaby,NHS-R21,.010541053,.75996184
4,Healing,NHS-R24,-.47637305,.59642398
5,Dance,NHS-R06,.66905332,-.84297258
6,Healing,NHS-R30,.58814687,1.0066524
7,Love,NHS-R10,.84037334,.70544523
8,Love,NHS-R06,1.5921561,1.2687944
9,Lullaby,NHS-R12,.90294558,-.48195916
10,Love,NHS-R19,.4377566,.26012871
11,Healing,NHS-R14,.91349155,-1.0702674
12,Love,NHS-R30,.38371566,1.2186149
13,Dance,NHS-R03,-.75128514,.63904363
14,Dance,NHS-R07,-.33278248,.012872827
15,Love,NHS-R21,.32258368,-.0078682322
16,Love,NHS-R20,-.48878872,.33346263
17,Love,NHS-R08,.72658569,-1.2999834
18,Love,NHS-R04,1.307821,.10251649
19,Love,NHS-R01,.67167425,.27119899
20,Dance,NHS-R21,-.69736594,1.2141877
21,Lullaby,NHS-R23,-.13906175,-.42125171
22,Dance,NHS-R10,-.0021542551,1.5286949
23,Healing,NHS-R18,-2.203619,.35079271
24,Healing,NHS-R01,-.21758494,.60528868
25,Dance,NHS-R05,.88380933,1.1552263
26,Love,NHS-R16,.66950804,-.95788246
27,Healing,NHS-R27,.06711939,.61787146
28,Love,NHS-R02,.1191435,-.41604111
29,Dance,NHS-R26,.75977868,-.6479525
30,Dance,NHS-R23,1.4933569,.9462446
31,Healing,NHS-R11,.31283993,-.074839249
32,Dance,NHS-R11,-.16840154,-.19501872
33,Healing,NHS-R12,-2.7156487,.8817482
34,Lullaby,NHS-R20,-2.0590765,.24002823
35,Dance,NHS-R17,.7481516,.08035586
36,Dance,NHS-R02,.21563645,1.386375
37,Lullaby,NHS-R01,-1.739756,-1.2004632
38,Healing,NHS-R10,.77027875,-.73422003
39,Lullaby,NHS-R27,.31550869,.25345594
40,Lullaby,NHS-R05,.35749325,.22154704
41,Healing,NHS-R26,1.1396214,-.19000968
42,Dance,NHS-R08,.50426084,.64502102
43,Lullaby,NHS-R04,.90904766,-.28405187
44,Lullaby,NHS-R18,.17886226,-.68033302
45,Love,NHS-R17,.96631467,-.91881812
46,Dance,NHS-R24,-.3955195,-.72091532
47,Love,NHS-R07,.26602352,.5615716
48,Lullaby,NHS-R15,-.97962028,-1.1268982
