id_nhs,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nhs_region,hraf_region,hraf_subregion,hraf_subsistence,ncites,npassages
NHS-C001,-.18240149,-.7453528,.36481237,.52066666,.628740895628384,.366656282191689,.920266485300488,-.37213776,-.95199943,.19515622,.19883333,.706812227492041,.457063324119279,1.03876732214874,.50666398,-.0653845,1.0932307,.084583335,.780175113701029,.493626335585517,1.12842062748544,NHS-R13,Oceania,Melanesia,intensive agriculturalists,4,13
NHS-C002,-.40286952,-.60190451,-.20843601,0,.677701555334866,.532108915090982,.778450676684542,-.31903192,-.52439916,-.13021757,.00083333335,.813821115520326,.6636527887146511,.92013835080629,-.21743424,-.41785458,-.018062228,.032499999,.843305603130613,.684901715320725,.962215659303114,NHS-R11,North America,Eastern Woodlands,horticulturalists,16,121
NHS-C003,-.54302156,-.73425585,-.34797102,0,.590558705499979,.473316100779984,.695695160990054,-.69816124,-.91345149,-.4705466,0,.752372461270611,.599707633142633,.874246839366101,.024113419,-.18601115,.24006423,.82533336,.653329320289329,.514270612333164,.778583415880056,NHS-R27,Africa,Southern Africa,horticulturalists,4,126
NHS-C004,.031648278,-.35448182,.41067767,.87,1.0746973502102,.842870733311224,1.32091867035733,.018443361,-.38108677,.41794735,.91708332,.83525199170256,.585777282136282,1.05559894011786,-.11357003,-.51261067,.27501976,.57233334,.898677649697328,.6853672789719401,1.11881802294354,NHS-R24,Asia,South Asia,horticulturalists,9,29
NHS-C006,-.044528786,-.40122101,.32172769,.79925001,.89616873413718,.696399355527811,1.13307193817122,-.32662272,-.71573144,.044224374,.085833333,1.12284534861833,.882681794243098,1.33894765353207,.21547237,-.14843738,.59366673,.25375,1.08917988868029,.842122397224104,1.34940691942696,NHS-R13,Oceania,Melanesia,horticulturalists,12,33
NHS-C007,.090115994,-.13053298,.30280113,.41133332,.804977410734562,.642803406743679,.932846495911221,.31569952,.10288113,.53686595,.0052499999,.856362192898653,.680215658884052,1.00476831974923,.086687937,-.13171984,.30231848,.42916667,.852730268738546,.703119634769316,1.00128065292939,NHS-R23,Europe,Scandinavia,pastoralists,10,100
NHS-C008,.028364021,-.45098576,.51599717,.91049999,.7891872972640031,.548038648907209,1.05589300761579,.16895987,-.33743316,.6825971,.50691664,.703367437180292,.463598714432967,.967143071718802,.016948612,-.48544252,.52940327,.94833332,.953361316378777,.709846968494658,1.22971280097677,NHS-R25,Asia,Southeast Asia,intensive agriculturalists,8,19
NHS-C009,-.11382046,-.27772808,.051698077,.17325,.842832968192724,.6589415130234521,.969118507284965,.38977861,.20857243,.57879883,0,.864491913659355,.707709884804142,.9821085496873589,.70907605,.52474505,.89280188,0,1.23563878630899,1.04565499158254,1.39949418916438,NHS-R01,South America,Amazon and Orinoco,other subsistence combinations,5,163
NHS-C011,.9157927,.43944767,1.4070877,.00016666666,1.36784099696227,1.10211628398147,1.65808990069028,-.59634191,-1.1129857,-.093803577,.018999999,1.02978569894914,.735151334480578,1.36684887359532,-.12993124,-.62607998,.37042972,.60974997,.810033331692385,.5472485813567251,1.04078048723438,NHS-R30,Africa,Western Africa,intensive agriculturalists,5,19
NHS-C014,.27624634,.064933158,.48962229,.011083334,.900642547414612,.739626372402363,1.04743720473829,.45228395,.23299171,.67052352,.00016666666,.843525813225551,.672354355206527,.983212388460428,-.079220302,-.30209509,.14283772,.49225,.952680761262488,.782851370227309,1.09498578005012,NHS-R22,Oceania,Polynesia,horticulturalists,13,106
