docmeanest1,docmeancilo1,docmeancihi1,docmeanest2,docmeancilo2,docmeancihi2,docmeanest3,docmeancilo3,docmeancihi3,id_nhs,ncites,docn,id_doc,cultmeanest1,cultmeancilo1,cultmeancihi1,cultmeanest2,cultmeancilo2,cultmeancihi2,cultmeanest3,cultmeancilo3,cultmeancihi3,nhs_region,hraf_region,hraf_subregion,hraf_subsistence,supercite,supercite_doc,docnum
.21643233,-.83260727,1.303302,.3584393,-.83087909,1.484543,.088962346,-.96631581,1.2064431,NHS-C050,1,1,NHS-C050doc1,.21881649,-1.2647269,1.6903043,.35656351,-1.1881361,1.8593366,.090108149,-1.3893927,1.5972039,NHS-R24,Asia,South Asia,intensive agriculturalists,100,101,1
-.71960938,-2.2949414,.80711591,-.76076823,-2.5618608,.94452339,-.57088041,-2.2778864,1.1333932,NHS-C055,1,1,NHS-C055doc1,-.72719091,-2.6078684,1.1559234,-.74855876,-2.814667,1.3027357,-.56017864,-2.5466235,1.4350464,NHS-R12,Middle America and the Caribbean,Maya Area,horticulturalists,100,101,2
.81389934,.26493621,1.3633238,-.70774227,-1.3126839,-.074961193,.73538429,.089125164,1.3976977,NHS-C087,1,1,NHS-C087doc1,.81320393,-.12451892,1.7712773,-.70703322,-1.711261,.30196241,.73249924,-.27770188,1.7507234,NHS-R08,Asia,East Asia,intensive agriculturalists,100,101,3
.086675093,-.23461848,.43761766,.43683338,.1097419,.76692146,.31734052,.0018601873,.6468119,NHS-C037,2,1,NHS-C037doc1,.14999922,-.270509,.57677042,.35253611,-.080789328,.78270346,.26283073,-.16369091,.70497411,NHS-R15,Middle East,Middle East,pastoralists,200,201,4
.50533003,-.041016497,1.0748527,-.12974827,-.76167798,.4798106,-.040511414,-.64766169,.59993291,NHS-C037,2,2,NHS-C037doc2,,,,,,,,,,NHS-R15,Middle East,Middle East,pastoralists,200,202,5
-.16836601,-.6152193,.31881005,.2787489,-.33194327,.82498318,-.26034307,-.77069473,.23058891,NHS-C114,2,1,NHS-C114doc1,-.030728713,-.43381995,.38346016,.0065727532,-.42839313,.43498051,-.14549345,-.58337235,.28045419,NHS-R09,Africa,Eastern Africa,intensive agriculturalists,200,201,6
.038798742,-.20890987,.29865572,-.1307275,-.43277565,.16502361,-.086817309,-.34794357,.18890367,NHS-C114,2,2,NHS-C114doc2,,,,,,,,,,NHS-R09,Africa,Eastern Africa,intensive agriculturalists,200,202,7
.59350634,.33868873,.82321042,-.04481696,-.30432659,.20297746,-.079324722,-.33034715,.16827214,NHS-C064,3,1,NHS-C064doc1,.6374557,.24387375,1.0361512,-.069197416,-.48111099,.33529049,-.085755125,-.4973706,.32098913,NHS-R14,Oceania,Micronesia,other subsistence combinations,300,301,8
2.3213942,.7361424,3.9882221,-1.039233,-2.8138051,.66140294,-.61671382,-2.3591452,1.0684987,NHS-C064,3,2,NHS-C064doc2,,,,,,,,,,NHS-R14,Oceania,Micronesia,other subsistence combinations,300,302,9
.079147384,-1.8661789,2.0713985,.28480265,-1.8677913,2.5649912,.24131188,-2.1612797,2.5588832,NHS-C064,3,3,NHS-C064doc3,,,,,,,,,,NHS-R14,Oceania,Micronesia,other subsistence combinations,300,303,10
-.25814947,-.70474023,.22679017,.01116298,-.51350212,.5373252,-.34528986,-.84637111,.13468228,NHS-C086,3,1,NHS-C086doc1,-.13212003,-.59115803,.31898952,-.21908927,-.71054167,.27174982,-.14944457,-.61396205,.3248795,NHS-R18,Middle America and the Caribbean,Northern Mexico,agro-pastoralists,300,301,11
.66939372,-.30721402,1.6614947,-.97016382,-2.0474815,.071792431,-.90042853,-1.9962891,.12704945,NHS-C086,3,2,NHS-C086doc2,,,,,,,,,,NHS-R18,Middle America and the Caribbean,Northern Mexico,agro-pastoralists,300,302,12
-.19519763,-.58414948,.16226201,-.25274014,-.71075225,.15762401,.15596361,-.17634742,.54986358,NHS-C086,3,3,NHS-C086doc3,,,,,,,,,,NHS-R18,Middle America and the Caribbean,Northern Mexico,agro-pastoralists,300,303,13
-.69591892,-2.2487671,.8312344,-.23937587,-2.0522869,1.5069873,-.069238327,-1.7832389,1.6126511,NHS-C088,3,1,NHS-C088doc1,-.26437068,-1.427838,.90257305,.002462711,-1.2343886,1.2264295,.25686845,-1.0191928,1.5304844,NHS-R17,Africa,Northern Africa,intensive agriculturalists,300,301,14
-.14862497,-2.1765015,1.816443,.13165288,-1.8974539,2.2065518,.10273532,-2.0976207,2.3512938,NHS-C088,3,2,NHS-C088doc2,,,,,,,,,,NHS-R17,Africa,Northern Africa,intensive agriculturalists,300,302,15
.070091993,-1.4738497,1.7264987,.11244221,-1.6151826,1.9120226,.76542366,-1.0174251,2.6029727,NHS-C088,3,3,NHS-C088doc3,,,,,,,,,,NHS-R17,Africa,Northern Africa,intensive agriculturalists,300,303,16
.0076846788,-1.171985,1.1314648,.20810577,-1.0236027,1.4692138,-.070758395,-1.4484705,1.1271317,NHS-C091,3,1,NHS-C091doc1,.06302169,-.51856977,.6496473,.21061285,-.43227282,.86921972,-.010128572,-.65905106,.63495749,NHS-R24,Asia,South Asia,other subsistence combinations,300,301,17
.088835977,-1.9029819,2.0342083,.34491834,-1.7708247,2.438283,.20736736,-1.9855472,2.4817507,NHS-C091,3,2,NHS-C091doc2,,,,,,,,,,NHS-R24,Asia,South Asia,other subsistence combinations,300,302,18
.075012848,-.23658806,.38595262,.19392034,-.21352704,.61015242,-.020388678,-.43208209,.38933542,NHS-C091,3,3,NHS-C091doc3,,,,,,,,,,NHS-R24,Asia,South Asia,other subsistence combinations,300,303,19
-.034003627,-1.1285713,1.0754732,-.44813895,-1.6288284,.66264856,.47987708,-.66707063,1.6715494,NHS-C001,4,1,NHS-C001doc1,-.18240149,-.7453528,.36481237,-.37213776,-.95199943,.19515622,.50666398,-.0653845,1.0932307,NHS-R13,Oceania,Melanesia,intensive agriculturalists,400,401,20
-.29429209,-1.012115,.42242947,-.44642201,-1.2296154,.30718416,.65783,-.11168198,1.4427475,NHS-C001,4,2,NHS-C001doc2,,,,,,,,,,NHS-R13,Oceania,Melanesia,intensive agriculturalists,400,402,21
-.44125891,-1.555757,.61513752,-.44585824,-1.5605619,.64408469,.36713994,-.71208018,1.51713,NHS-C001,4,3,NHS-C001doc3,,,,,,,,,,NHS-R13,Oceania,Melanesia,intensive agriculturalists,400,403,22
-.093673907,-.57732677,.35790694,-.28414661,-.76240307,.24056236,.48569253,-.041207619,1.0256164,NHS-C001,4,4,NHS-C001doc4,,,,,,,,,,NHS-R13,Oceania,Melanesia,intensive agriculturalists,400,404,23
-.22197126,-.44897845,.0031815167,-.28984672,-.55488855,-.047405049,-.25764847,-.48715824,-.042670589,NHS-C003,4,1,NHS-C003doc1,-.54302156,-.73425585,-.34797102,-.69816124,-.91345149,-.4705466,.024113419,-.18601115,.24006423,NHS-R27,Africa,Southern Africa,horticulturalists,400,401,24
-.33522752,-.74143714,.097868107,-1.1649792,-1.6391016,-.67536646,.39934421,-.048072621,.90672284,NHS-C003,4,2,NHS-C003doc2,,,,,,,,,,NHS-R27,Africa,Southern Africa,horticulturalists,400,402,25
.53513956,-1.0125941,2.1488807,.80223984,-.89074415,2.5224659,-.13610338,-1.8784884,1.6681563,NHS-C003,4,3,NHS-C003doc3,,,,,,,,,,NHS-R27,Africa,Southern Africa,horticulturalists,400,403,26
-.70368332,-.8423242,-.53644991,-.84285659,-1.0148149,-.62015963,.10831229,-.070192859,.27197939,NHS-C003,4,4,NHS-C003doc4,,,,,,,,,,NHS-R27,Africa,Southern Africa,horticulturalists,400,404,27
-.13806835,-.40239894,.093250439,.53813821,.27741075,.81869119,-.49640384,-.80117381,-.23265433,NHS-C022,4,1,NHS-C022doc1,-.17408109,-.38868389,.036095239,.30699214,.087364018,.5294764,-.41132981,-.63591033,-.186718,NHS-R28,South America,Southern South America,hunter-gatherers,400,401,28
.047348212,-1.0821718,1.1603206,.41019902,-.71985847,1.5879401,.2231575,-.86404169,1.4271531,NHS-C022,4,2,NHS-C022doc2,,,,,,,,,,NHS-R28,South America,Southern South America,hunter-gatherers,400,402,29
-.26305416,-1.2200209,.7259419,.25257808,-.76694274,1.3245183,-.56982756,-1.6336316,.46156982,NHS-C022,4,3,NHS-C022doc3,,,,,,,,,,NHS-R28,South America,Southern South America,hunter-gatherers,400,403,30
-.18655396,-.31502697,-.048719149,.25100178,.09776751,.38475406,-.40469563,-.53865099,-.24859312,NHS-C022,4,4,NHS-C022doc4,,,,,,,,,,NHS-R28,South America,Southern South America,hunter-gatherers,400,404,31
-.91851652,-1.5887747,-.27069655,-.84186184,-1.6349705,-.040772937,.090445101,-.67909539,.90904707,NHS-C052,4,1,NHS-C052doc1,-.25486335,-.74062788,.2205438,-.36689636,-.88435173,.14221694,.52123868,.024083026,1.0328832,NHS-R22,Oceania,Polynesia,other subsistence combinations,400,401,32
-.096768327,-.4411231,.21161753,-.33711928,-.67570519,.025816223,.64386559,.28853306,1.001057,NHS-C052,4,2,NHS-C052doc2,,,,,,,,,,NHS-R22,Oceania,Polynesia,other subsistence combinations,400,402,33
-.29525906,-1.8327726,1.2270265,.71898574,-.95465595,2.4124546,-.47795853,-2.1829233,1.2326499,NHS-C052,4,3,NHS-C052doc3,,,,,,,,,,NHS-R22,Oceania,Polynesia,other subsistence combinations,400,403,34
-.089787841,-1.8752584,1.6539007,-.3677679,-2.2119043,1.5161222,1.3219379,-.5075205,3.1586134,NHS-C052,4,4,NHS-C052doc4,,,,,,,,,,NHS-R22,Oceania,Polynesia,other subsistence combinations,400,404,35
-.33569199,-1.0803723,.39112285,-.31112552,-1.1511737,.50125557,-.28406468,-1.1124624,.50376469,NHS-C079,4,1,NHS-C079doc1,-.19419441,-.63516188,.24209383,-.22967063,-.6900211,.23017776,.10559881,-.34520897,.55836713,NHS-R09,Africa,Eastern Africa,pastoralists,400,401,36
.20584582,-.2349658,.63632321,-.22471543,-.67830813,.21788833,.006874708,-.43954331,.46421367,NHS-C079,4,2,NHS-C079doc2,,,,,,,,,,NHS-R09,Africa,Eastern Africa,pastoralists,400,402,37
-.46854377,-.84192121,-.098577023,-.22136882,-.65094596,.2078815,.40696338,.0056086942,.80012006,NHS-C079,4,3,NHS-C079doc3,,,,,,,,,,NHS-R09,Africa,Eastern Africa,pastoralists,400,403,38
-.47635928,-2.3594604,1.4012679,-.12093901,-2.1653244,1.8573827,-.66973215,-2.4499972,1.169137,NHS-C079,4,4,NHS-C079doc4,,,,,,,,,,NHS-R09,Africa,Eastern Africa,pastoralists,400,404,39
