country,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nstations,nstationyears
AC,.48171574,-.5859893,1.5784782,.37799999,.323819396158469,.0189609650898927,.883152480430202,-.68313688,-1.7464321,.37025785,.2022,.356007984026561,.0250552150774988,.913354340940207,.32279384,-1.1675817,1.7672499,.67640001,.603606741920412,.0706200860184205,1.46734919344547,1,2
AL,.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,36
AO,.73186308,-.071513429,1.5703244,.079800002,.337595610085583,.0625173658001757,.692343433582965,-.090944007,-1.5433151,1.1756719,.9472,.781671325091558,.13707016148377,1.42746807294772,.014673989,-1.2777843,1.2946618,.98559999,.830882868027245,.14926427019253,1.79940426650104,2,3
AQ,.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,42
BD,.71017575,.37375754,1.0499531,0,.35046497248937,.190232157399673,.575505268642537,-.77425373,-1.1170648,-.43649152,0,.343549222493788,.243382893262794,.43473809007974,.12090588,-.36198872,.64971012,.6376,.653841129846588,.441182615844786,.94097381466029,2,20
BF,.82018936,.50709713,1.141471,0,.44043697999566,.294332534812989,.623701958287479,-.12871161,-.51770622,.25896689,.51679999,.719351937111786,.553929733740103,.929082543671096,-.06783849,-.54179966,.40355667,.77859998,.799087711675101,.533133922688291,1.0394872416329,7,23
BK,-.74874943,-.93927014,-.55906487,0,.734447792736783,.638496379398675,.835698768228761,.040962119,-.15107326,.23259473,.68440002,.6806117503289451,.584598286747175,.763012345615775,-.33545384,-.60081422,-.069953732,.0099999998,.713901496147574,.572371735042161,.83118729948939,6,64
BP,.96459782,-.33364272,2.2280324,.1586,.591103555063595,.0205511467970712,1.75746060539238,-.44618666,-1.5188445,.61686051,.41659999,.257436213339985,.019790342417422,.661606618529308,-.44379792,-2.0549455,1.1930095,.60100001,.72997664989609,.0300840904960397,2.14328741340824,2,2
BY,-.021938825,-.46547294,.43865073,.921,.779875228950425,.496560421241111,1.0114454546689,-.19399828,-.56754959,.19567755,.30739999,.422844254129373,.288926900781676,.582442775663869,-.081922546,-.71028864,.55694717,.79040003,.9203955252427241,.581715568682235,1.33792700821061,2,16
CI,-.23379791,-.57994264,.083356336,.1622,1.07366164467698,.814487331073063,1.38649624989301,.50092518,.1853269,.82153708,.0020000001,1.63230629229587,1.42428354193206,1.81394091400658,.46229541,.056361817,.89258796,.022,1.13834771732583,.847047407784208,1.41309632709746,14,29
