ocm,type,est,cilo,cihi,p,category,group,ndocs
ANY,null,42.650002,32,54,0,CHILDREN,Africa,233
ANY,nhs,86,NA,NA,0,CHILDREN,Africa,233
ANY,null,14.2244,8,22,0,CHILDREN,Asia,215
ANY,nhs,34,NA,NA,0,CHILDREN,Asia,215
ANY,null,2.8006001,0,6,.9268,CHILDREN,Europe,62
ANY,nhs,3,NA,NA,.9268,CHILDREN,Europe,62
ANY,null,1.4734,0,4,.8616,CHILDREN,Middle America and the Caribbean,37
ANY,nhs,2,NA,NA,.8616,CHILDREN,Middle America and the Caribbean,37
ANY,null,.17640001,0,1,0,CHILDREN,Middle East,6
ANY,nhs,0,NA,NA,0,CHILDREN,Middle East,6
ANY,null,10.0982,5,16,.0332,CHILDREN,North America,102
ANY,nhs,17,NA,NA,.0332,CHILDREN,North America,102
ANY,null,7.6431999,3,13,.2284,CHILDREN,South America,88
ANY,nhs,5,NA,NA,.2284,CHILDREN,South America,88
ANY,null,98.050003,83,113,0,DANCE,Africa,233
ANY,nhs,285,NA,NA,0,DANCE,Africa,233
ANY,null,35.993999,25,47,0,DANCE,Asia,215
ANY,nhs,162,NA,NA,0,DANCE,Asia,215
ANY,null,1.9174,0,5,0,DANCE,Europe,62
ANY,nhs,20,NA,NA,0,DANCE,Europe,62
ANY,null,6.0995998,2,11,0,DANCE,Middle America and the Caribbean,37
ANY,nhs,17,NA,NA,0,DANCE,Middle America and the Caribbean,37
ANY,null,.20739999,0,1,.0016,DANCE,Middle East,6
ANY,nhs,3,NA,NA,.0016,DANCE,Middle East,6
ANY,null,75.727798,61.975,90,0,DANCE,North America,102
ANY,nhs,284,NA,NA,0,DANCE,North America,102
ANY,null,30.5886,21,41,0,DANCE,South America,88
ANY,nhs,183,NA,NA,0,DANCE,South America,88
ANY,null,204.6418,179,231,0,RELIGION,Africa,233
ANY,nhs,287,NA,NA,0,RELIGION,Africa,233
ANY,null,472.51401,439,507,0,RELIGION,Asia,215
ANY,nhs,601,NA,NA,0,RELIGION,Asia,215
ANY,null,27.240999,17,38,0,RELIGION,Europe,62
ANY,nhs,93,NA,NA,0,RELIGION,Europe,62
ANY,null,73.077797,57,90,0,RELIGION,Middle America and the Caribbean,37
