ratingnum,v1,song,mm,tonal,pitch,_merge,pc,modalpc,transpc,newpc
1,1,1,0,1,F,matched (3),5,5,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,121,5,1,1,F#,matched (3),6,3,-3,3
2,121,5,1,1,D#,matched (3),3,3,0,0
1,151,6,0,1,C,matched (3),0,0,0,0
1,181,7,0,1,E,matched (3),4,4,0,0
1,211,8,0,1,G#,matched (3),8,8,0,0
1,241,9,0,1,A,matched (3),9,9,0,0
1,271,10,1,1,B,matched (3),11,11,0,0
1,301,11,0,1,A#,matched (3),10,10,0,0
1,331,12,0,1,F#,matched (3),6,6,0,0
1,361,13,0,1,D,matched (3),2,2,0,0
1,391,14,1,1,G#,matched (3),8,8,0,0
1,421,15,1,1,A#,matched (3),10,10,0,0
1,451,16,1,1,C#,matched (3),1,1,0,0
1,481,17,0,1,A,matched (3),9,9,0,0
1,511,18,0,1,G,matched (3),7,7,0,0
1,541,19,0,1,G#,matched (3),8,8,0,0
2,541,19,0,1,C#,matched (3),1,8,7,5
1,571,20,0,1,A,matched (3),9,9,0,0
1,601,21,0,1,F#,matched (3),6,6,0,0
1,631,22,1,1,A,matched (3),9,9,0,0
2,631,22,1,1,E,matched (3),4,9,5,5
1,661,23,0,1,G#,matched (3),8,8,0,0
1,691,24,1,1,B,matched (3),11,11,0,0
1,721,25,0,1,D,matched (3),2,2,0,0
1,751,26,1,1,A#,matched (3),10,10,0,0
1,781,27,1,1,F,matched (3),5,5,0,0
2,781,27,1,1,D,matched (3),2,5,3,3
1,811,28,1,1,D#,matched (3),3,3,0,0
1,841,29,0,1,C,matched (3),0,0,0,0
2,841,29,0,1,E,matched (3),4,0,-4,4
1,871,30,0,1,E,matched (3),4,4,0,0
1,901,31,1,1,D#,matched (3),3,3,0,0
2,901,31,1,1,A#,matched (3),10,3,-7,5
1,931,32,1,1,G,matched (3),7,7,0,0
1,961,33,0,1,D#,matched (3),3,3,0,0
1,991,34,0,1,F#,matched (3),6,6,0,0
1,1021,35,0,1,G,matched (3),7,1,-6,6
2,1021,35,0,1,D,matched (3),2,1,-1,1
1,1051,36,0,1,G#,matched (3),8,8,0,0
1,1081,37,1,1,A,matched (3),9,9,0,0
1,1111,38,0,1,E,matched (3),4,4,0,0
1,1141,39,0,1,D#,matched (3),3,3,0,0
1,1171,40,0,1,D#,matched (3),3,3,0,0
2,1171,40,0,1,D#,matched (3),3,3,0,0
1,1201,41,0,1,A,matched (3),9,9,0,0
1,1231,42,0,1,C#,matched (3),1,1,0,0
1,1261,43,0,1,D,matched (3),2,2,0,0
1,1291,44,1,1,C,matched (3),0,0,0,0
1,1321,45,0,1,D#,matched (3),3,3,0,0
1,1351,46,1,1,G,matched (3),7,0,-7,5
2,1351,46,1,1,D,matched (3),2,0,-2,2
1,1381,47,0,1,G,matched (3),7,7,0,0
1,1411,48,1,1,G,matched (3),7,7,0,0
1,1441,49,0,1,B,matched (3),11,11,0,0
1,1471,50,0,1,C,matched (3),0,9,9,3
2,1471,50,0,1,A,matched (3),9,9,0,0
1,1501,51,1,1,D,matched (3),2,0,-2,2
2,1501,51,1,1,C,matched (3),0,0,0,0
1,1531,52,1,1,A#,matched (3),10,10,0,0
1,1561,53,1,1,F#,matched (3),6,3,-3,3
2,1561,53,1,1,D#,matched (3),3,3,0,0
1,1591,54,0,1,F#,matched (3),6,6,0,0
2,1591,54,0,1,F#,matched (3),6,6,0,0
1,1621,55,0,1,E,matched (3),4,4,0,0
1,1651,56,0,1,F,matched (3),5,3,-2,2
2,1651,56,0,1,D#,matched (3),3,3,0,0
1,1681,57,0,1,G#,matched (3),8,8,0,0
1,1711,58,1,1,F#,matched (3),6,6,0,0
1,1741,59,1,1,F,matched (3),5,9,4,4
1,1771,60,1,1,D,matched (3),2,2,0,0
1,1801,61,0,1,C#,matched (3),1,1,0,0
1,1831,62,0,1,G,matched (3),7,7,0,0
1,1861,63,0,1,A,matched (3),9,10,1,1
1,1891,64,0,1,G#,matched (3),8,8,0,0
1,1951,66,1,1,A#,matched (3),10,10,0,0
2,1951,66,1,1,A,matched (3),9,10,1,1
1,1981,67,0,1,A#,matched (3),10,10,0,0
1,2011,68,0,1,F,matched (3),5,5,0,0
1,2041,69,0,1,A,matched (3),9,9,0,0
1,2071,70,1,1,F#,matched (3),6,6,0,0
1,2101,71,0,1,C,matched (3),0,0,0,0
1,2131,72,1,1,B,matched (3),11,11,0,0
1,2161,73,0,1,E,matched (3),4,4,0,0
1,2191,74,0,1,F,matched (3),5,5,0,0
1,2221,75,1,1,B,matched (3),11,11,0,0
1,2251,76,0,1,C#,matched (3),1,1,0,0
1,2281,77,1,1,F#,matched (3),6,4,-2,2
1,2311,78,1,1,E,matched (3),4,4,0,0
1,2341,79,1,1,B,matched (3),11,11,0,0
1,2371,80,1,1,E,matched (3),4,4,0,0
2,2371,80,1,1,C#,matched (3),1,4,3,3
1,2401,81,1,1,E,matched (3),4,3,-1,1
1,2431,82,0,1,A#,matched (3),10,10,0,0
1,2461,83,1,1,F#,matched (3),6,6,0,0
1,2491,84,1,1,A#,matched (3),10,10,0,0
1,2521,85,1,1,F,matched (3),5,5,0,0
1,2551,86,0,1,G,matched (3),7,7,0,0
1,2581,87,0,1,C,matched (3),0,0,0,0
1,2611,88,0,1,C,matched (3),0,0,0,0
1,2641,89,0,1,E,matched (3),4,4,0,0
2,2641,89,0,1,D,matched (3),2,4,2,2
1,2671,90,0,1,G#,matched (3),8,8,0,0
1,2701,91,1,1,C#,matched (3),1,6,5,5
1,2731,92,0,1,E,matched (3),4,4,0,0
1,2761,93,0,1,F#,matched (3),6,6,0,0
1,2791,94,1,1,F,matched (3),5,0,-5,5
1,2821,95,1,1,C#,matched (3),1,1,0,0
1,2851,96,1,1,E,matched (3),4,11,7,5
1,2881,97,0,1,B,matched (3),11,11,0,0
1,2911,98,0,1,B,matched (3),11,7,-4,4
2,2911,98,0,1,G,matched (3),7,7,0,0
1,2941,99,1,1,F,matched (3),5,5,0,0
1,2971,100,0,1,G,matched (3),7,7,0,0
1,3001,101,1,1,C,matched (3),0,0,0,0
1,3031,102,1,1,F#,matched (3),6,6,0,0
2,3031,102,1,1,E,matched (3),4,6,2,2
1,3061,103,0,1,F,matched (3),5,5,0,0
1,3091,104,0,1,F,matched (3),5,5,0,0
2,3091,104,0,1,C,matched (3),0,5,5,5
1,3121,105,0,1,B,matched (3),11,11,0,0
1,3151,106,0,1,B,matched (3),11,11,0,0
1,3181,107,0,1,E,matched (3),4,4,0,0
1,3211,108,0,1,C#,matched (3),1,1,0,0
1,3241,109,0,1,G#,matched (3),8,8,0,0
2,3241,109,0,1,D#,matched (3),3,8,5,5
1,3271,110,1,1,A#,matched (3),10,9,-1,1
2,3271,110,1,1,A,matched (3),9,9,0,0
1,3301,111,0,1,E,matched (3),4,4,0,0
2,3301,111,0,1,C,matched (3),0,4,4,4
1,3331,112,0,1,A#,matched (3),10,10,0,0
1,3361,113,1,1,B,matched (3),11,11,0,0
1,3391,114,0,1,F#,matched (3),6,6,0,0
1,3421,115,0,1,F,matched (3),5,5,0,0
1,3451,116,1,1,F,matched (3),5,8,3,3
2,3451,116,1,1,D#,matched (3),3,8,5,5
1,3481,117,0,1,A#,matched (3),10,5,-5,5
2,3481,117,0,1,E,matched (3),4,5,1,1
1,3511,118,0,1,F#,matched (3),6,6,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,1,1,0,1,F,matched (3),5,5,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
2,31,2,0,1,E,matched (3),4,0,-4,4
1,31,2,0,1,C,matched (3),0,0,0,0
2,31,2,0,1,F,matched (3),5,0,-5,5
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,31,2,0,1,C,matched (3),0,0,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,C,matched (3),0,10,10,2
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
2,61,3,0,1,D#,matched (3),3,10,7,5
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
2,61,3,0,1,F,matched (3),5,10,5,5
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,61,3,0,1,A#,matched (3),10,10,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
2,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,A#,matched (3),10,6,-4,4
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
2,91,4,0,1,E,matched (3),4,6,2,2
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
1,91,4,0,1,F#,matched (3),6,6,0,0
