song,modalpc,key1,key2,key3,key4,key5
1,5,5,5,2,10,10
2,0,0,0,9,7,4
3,10,10,10,3,3,1
4,6,6,6,2,11,7
5,3,3,6,10,11,1
6,0,0,4,7,9,2
7,4,11,4,8,1,11
8,8,8,8,1,1,11
9,9,9,0,9,4,5
10,11,11,11,4,8,6
11,10,10,5,2,3,7
12,6,6,6,11,1,1
13,2,2,11,7,6,7
14,8,1,8,8,1,6
15,10,3,3,10,10,7
16,1,1,6,9,1,6
17,9,9,9,2,2,4
18,7,7,10,2,7,5
19,8,8,8,1,5,3
20,9,9,9,2,6,2
21,6,6,3,1,10,11
22,9,9,4,9,6,1
23,8,8,8,5,1,3
24,11,9,6,1,9,4
25,2,7,2,4,2,0
26,10,10,3,10,0,7
27,5,2,5,7,10,2
28,3,8,3,1,3,8
29,0,4,0,5,7,9
30,4,4,11,7,11,4
31,3,3,8,5,3,10
32,7,7,2,11,2,7
33,3,3,3,0,8,8
34,6,6,6,3,11,10
35,1,1,1,6,3,8
36,8,8,8,11,1,4
37,9,8,8,1,4,5
38,4,4,1,8,4,11
39,3,3,3,0,8,10
40,3,0,3,10,8,5
41,9,2,9,7,9,2
42,1,1,4,1,8,9
43,2,2,9,6,11,2
44,0,5,0,5,0,10
45,3,3,3,10,8,10
46,0,7,0,4,7,0
47,7,7,10,7,2,2
48,7,9,9,2,7,6
49,11,3,6,11,10,6
50,9,9,0,5,0,7
51,0,0,5,2,10,0
52,10,0,10,5,0,7
53,3,6,6,3,11,11
54,6,6,3,1,11,8
55,4,4,4,11,9,1
56,3,3,10,3,10,0
57,8,8,10,1,5,8
58,6,6,1,8,10,8
59,9,9,9,6,4,2
60,2,2,11,6,2,9
61,1,1,5,8,1,10
62,7,7,7,0,2,4
63,10,10,10,5,5,3
64,8,8,5,3,0,1
65,7,7,11,4,7,2
66,10,2,2,7,7,10
67,10,10,3,10,0,3
68,5,5,0,8,5,0
69,9,1,9,4,6,11
70,6,11,11,6,3,10
71,0,0,3,10,8,5
72,11,11,6,11,6,3
73,4,4,9,4,6,2
74,5,0,0,5,5,9
75,11,1,4,11,9,8
76,1,1,1,6,4,6
77,4,4,11,4,6,9
78,4,4,8,11,1,4
79,11,11,7,11,4,8
80,4,4,1,4,9,11
81,3,4,4,3,3,1
82,10,10,5,10,2,5
83,6,6,1,1,11,3
84,10,0,2,0,5,7
85,5,5,9,0,0,5
86,7,7,0,7,2,2
87,0,0,4,7,0,9
88,0,0,8,3,5,0
89,4,4,4,9,7,1
90,8,8,0,8,5,3
91,6,1,6,6,1,2
92,4,4,4,11,9,2
93,6,6,6,11,3,2
94,0,0,0,5,8,5
95,1,1,5,10,8,5
96,11,11,2,7,4,11
97,11,11,11,4,6,9
98,7,11,2,7,9,9
99,5,3,3,8,8,6
100,7,7,7,10,2,2
101,0,0,5,5,3,0
102,6,9,4,6,1,11
103,5,5,0,0,9,5
104,5,5,5,10,2,3
105,11,11,7,11,2,4
106,11,11,11,6,6,4
107,4,4,4,1,9,9
108,1,1,1,10,6,5
109,8,1,8,10,1,6
110,9,5,5,10,2,10
111,4,4,4,0,7,9
112,10,10,10,7,3,2
113,11,11,4,11,4,1
114,6,6,6,3,11,1
115,5,5,2,5,9,0
116,8,3,8,0,10,10
117,5,10,6,1,5,11
118,6,6,6,3,11,2
