song,func_danc,func_heal,func_love,func_baby,func_dead,func_stor,form_sing,form_gend,form_inst,form_melo,form_rhyt,form_fast,form_beat,form_exci,form_happ,form_plea
1,1.6622807,4.3508773,1.9912281,1.7675439,4.8859649,2.872807,1.467742,-.92771083,.17142858,2.9848485,3.0526316,2.9516129,3.4202898,2.265625,2.7088609,2.7826087
2,2.1082251,3.5930736,2.3766234,1.7402598,4.5497837,3.5238094,4.2235293,-.72619045,.5,3.1505377,3.1948051,2.9058824,3.4805195,2.7526882,3,2.9756098
3,2.6124401,3.6889951,2.2727273,1.8229665,4.3971291,3.1866028,1.0410959,-.9710145,1,2.8108108,2.5882354,3.0555556,4.0897436,3.1538463,3.0952382,3.231884
4,5.2403436,2.5665236,2.7553649,1.4034334,2.3433475,3.7553649,2.0999999,-.82278478,2.1538463,3.9655173,3.8452382,4.7123289,3.9866667,4.3600001,4.3764706,3.7023809
5,2.4212964,2.6157408,4.2546296,4,2.2638888,4.0509257,3.2,.88235295,.49397591,3.1518986,3.2405064,3.3239436,3.4473684,3.7285714,4.304348,4.3235292
6,5.5475111,2.7285068,3.0497737,1.5927602,2.3891404,3.6515837,5.2467532,-.57352942,1.9230769,3.9076922,3.9375,4.869565,4.4363637,4.4925375,4.9404764,4.4383564
7,4.0714288,1.7428571,5.0333333,1.8619047,1.6952381,4.242857,2.4935064,-.91250002,1.5362319,3.8513513,3.909091,4.0649352,4.8169012,4.4411764,4.967742,4.9846153
8,5.3112035,2.3112032,3.759336,1.6390041,2.0414939,3.9253111,2.8823528,-.20833333,1.8,3.9146342,3.8591549,4.4594593,4.8780489,4.6933331,4.8139534,4.6666665
9,1.7327189,2.4101381,4.2718892,4.7096772,2.1382489,3.875576,1,.84057969,.1594203,2.9402986,2.4794521,2.7567568,4.0131578,3.2045455,3.369863,4.2051282
10,2.3361702,3.5914893,2.8851063,2.3446808,3.4170213,3.8042552,1.0597014,-.94736844,.85135138,2.8076923,2.8589745,2.8461537,3.3606558,2.8888888,3.289855,3.4230769
