"indx","song","type","nhs_region","bpca_1","bpca_2","highlighted"
"1","NHSDiscography-001","Lullaby","NHS-R03",-3.4494316961164997,-0.11726350018248,"false"
"2","NHSDiscography-002","Healing","NHS-R13",-0.264717361732135,-1.8413907588540601,"false"
"3","NHSDiscography-003","Lullaby","NHS-R21",0.0105410534226468,0.7599618667835459,"false"
"4","NHSDiscography-004","Healing","NHS-R24",-0.476373051857116,0.5964239607849899,"false"
"5","NHSDiscography-005","Dance","NHS-R06",0.669053337290794,-0.842972589793885,"false"
"6","NHSDiscography-006","Healing","NHS-R30",0.588146837367687,1.0066524036111502,"false"
"7","NHSDiscography-007","Love","NHS-R10",0.840373338000771,0.7054452080362029,"false"
"8","NHSDiscography-008","Love","NHS-R06",1.59215608012901,1.26879438983777,"false"
"9","NHSDiscography-009","Lullaby","NHS-R12",0.9029455948805409,-0.48195915656753396,"false"
"10","NHSDiscography-010","Love","NHS-R19",0.437756596792493,0.260128705894878,"false"
"11","NHSDiscography-011","Healing","NHS-R14",0.9134915513789851,-1.0702674366689,"false"
"12","NHSDiscography-012","Love","NHS-R30",0.383715664898865,1.2186149740690801,"false"
"13","NHSDiscography-013","Dance","NHS-R03",-0.7512851261371272,0.63904360204297,"false"
"14","NHSDiscography-014","Dance","NHS-R07",-0.332782468118699,0.0128728273166692,"false"
"15","NHSDiscography-015","Love","NHS-R21",0.32258368173381297,-0.00786823204270088,"false"
"16","NHSDiscography-016","Love","NHS-R20",-0.488788738741336,0.333462619404454,"false"
"17","NHSDiscography-017","Love","NHS-R08",0.726585700363302,-1.29998338730855,"false"
"18","NHSDiscography-018","Love","NHS-R04",1.30782098515308,0.102516493956753,"false"
"19","NHSDiscography-019","Love","NHS-R01",0.671674268660836,0.271198982331208,"false"
"20","NHSDiscography-020","Dance","NHS-R21",-0.697365960871928,1.2141877702785402,"false"
"21","NHSDiscography-021","Lullaby","NHS-R23",-0.139061754979356,-0.42125171313045795,"false"
"22","NHSDiscography-022","Dance","NHS-R10",-0.00215425500457487,1.52869488743436,"false"
"23","NHSDiscography-023","Healing","NHS-R18",-2.20361909438145,0.350792708247663,"false"
"24","NHSDiscography-024","Healing","NHS-R01",-0.217584935497632,0.605288704686121,"false"
"25","NHSDiscography-025","Dance","NHS-R05",0.8838093476753021,1.1552263928338302,"false"
"26","NHSDiscography-026","Love","NHS-R16",0.669508054182213,-0.957882471106805,"false"
"27","NHSDiscography-027","Healing","NHS-R27",0.067119387049703,0.6178714681528911,"false"
"28","NHSDiscography-028","Love","NHS-R02",0.11914349785232597,-0.41604111455816,"false"
"29","NHSDiscography-029","Dance","NHS-R26",0.759778688005812,-0.647952506998293,"false"
"30","NHSDiscography-030","Dance","NHS-R23",1.49335689185342,0.946244625052051,"false"
"31","NHSDiscography-031","Healing","NHS-R11",0.31283992307313896,-0.0748392503628844,"false"
"32","NHSDiscography-032","Dance","NHS-R11",-0.16840154052450002,-0.19501873082177396,"false"
"33","NHSDiscography-033","Healing","NHS-R12",-2.71564861543697,0.881748180973511,"false"
"34","NHSDiscography-034","Lullaby","NHS-R20",-2.05907658425774,0.240028231327895,"false"
"35","NHSDiscography-035","Dance","NHS-R17",0.7481515726436341,0.0803558607096497,"false"
"36","NHSDiscography-036","Dance","NHS-R02",0.21563645225478198,1.38637497502945,"false"
"37","NHSDiscography-037","Lullaby","NHS-R01",-1.73975595501268,-1.20046321728276,"true"
"38","NHSDiscography-038","Healing","NHS-R10",0.770278775015389,-0.734220033398295,"false"
"39","NHSDiscography-039","Lullaby","NHS-R27",0.31550869598829495,0.25345594351942996,"false"
"40","NHSDiscography-040","Lullaby","NHS-R05",0.35749325123229103,0.22154703750019603,"false"
"41","NHSDiscography-041","Healing","NHS-R26",1.1396214203380701,-0.19000968633697,"false"
"42","NHSDiscography-042","Dance","NHS-R08",0.504260829923807,0.64502103396544,"false"
