id_nhs,nhs_region,culture,id_glottolog,id_ea,id_binford,id_hraf,id_sccs,id_chirila,id_wnai,id_dplace,id_ea_exact,id_binford_exact,id_chirila_exact,id_wnai_exact,id_notes
NHS-C072,NHS-R08,Ainu,ainu1240,Ec7,B22,AB06,118,.,,1,1,1,.,.,.
NHS-C110,NHS-R05,Aka,bamb1264,.,B60,.,.,.,,1,.,1,.,.,.
NHS-C108,NHS-R30,Akan,asan1239,Af3,.,FE12,.,.,,1,1,.,.,.,.
NHS-C005,NHS-R28,Alacaluf,qawa1238,Sg5,B53,.,.,.,,1,1,1,.,.,.
NHS-C114,NHS-R09,Amhara,amha1245,Ca7,.,MP05,37,.,,1,1,.,.,.,.
NHS-C027,NHS-R24,Andamans,grea1241|jara1244,Eh1,B5|B6|B8,AZ02,79,.,,1,0,0,.,.,Combines several D-PLACE entries
NHS-C039,NHS-R13,Anggor,ango1254,.,.,.,.,.,,0,.,.,.,.,.
NHS-C077,NHS-R03,Aranda,aran1263,Id1,B122|B124,OI08,91,1048,,1,1,0,1,.,Combines several D-PLACE entries
NHS-C098,NHS-R07,Aymara,cent2142,Sf2,.,SF05,172,.,,1,1,.,.,.,.
NHS-C032,NHS-R05,Azande,zand1248,Ai3,.,FO07,28,.,,1,1,.,.,.,.
NHS-C029,NHS-R10,Bahia Brazilians,braz1246,Cf4,.,SO11,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C010,NHS-R08,Bai,cent2004,Ed8,.,.,.,.,,1,1,.,.,.,.
NHS-C003,NHS-R27,Bemba,town1238,Ac3,.,FQ05,7,.,,1,1,.,.,.,.
NHS-C036,NHS-R21,Blackfoot,pieg1239,Ne12,B256,NF06,.,.,,1,1,1,.,.,.
NHS-C111,NHS-R10,Bororo,boro1282,Si1,B41,SP08,.,.,,1,1,1,.,.,.
NHS-C085,NHS-R25,Central Thai,thai1261,Ej9,.,AO07,76,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C040,NHS-R20,Chachi,chac1249,Sf3,.,SD06,168,.,,1,1,.,.,.,.
NHS-C038,NHS-R27,Chewa,chew1246,Ac10,.,.,.,.,,1,1,.,.,.,.
NHS-C016,NHS-R16,Chukchee,chuk1273,Ec3,.,RY02,121,.,,1,1,.,.,.,.
NHS-C064,NHS-R14,Chuuk,chuu1238,If2,.,OR19,109,.,,1,1,.,.,.,.
NHS-C095,NHS-R02,Copper Inuit,copp1244,Na3,B381,ND08,124,.,,1,1,1,.,.,.
NHS-C084,NHS-R30,Dogon,bank1259,Ag3,.,FA16,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C024,NHS-R25,Eastern Toraja,pamo1252,Ic5,.,OG11,87,.,,0,0,.,.,.,EA refers to Western Toraja
NHS-C031,NHS-R06,EmberÃ¡,nort2972,Sa4,.,.,.,.,,1,1,.,.,.,.
NHS-C035,NHS-R30,Ewe,aguu1242,Af36,.,.,.,.,,1,1,.,.,.,.
NHS-C053,NHS-R30,Fulani,fula1264,Cb8|Cb24,.,.,25,.,,1,0,.,.,.,Combines several D-PLACE entries
NHS-C018,NHS-R30,Fut,bafu1246,Ae9,.,.,.,.,,1,1,.,.,.,.
NHS-C017,NHS-R09,Ganda,gand1255,Ad7,.,FK07,12,.,,1,1,.,.,.,.
NHS-C060,NHS-R06,Garifuna,gari1256,Sa7,.,SA12,.,.,,1,1,.,.,.,.
NHS-C004,NHS-R24,Garo,garo1247,Ei1,.,AR05,69,.,,1,1,.,.,.,.
NHS-C061,NHS-R26,Georgia,imer1248,Ci8,.,RI01,.,.,,1,1,.,.,.,.
NHS-C026,NHS-R20,Goajiro,wayu1243,Sb6,.,SC13,159,.,,1,1,.,.,.,.
NHS-C044,NHS-R17,Gourara,gour1247,Cd10,.,.,.,.,,0,0,.,.,.,"EA refers to Zekara, another Zenati-speaking nomadic Berber tribe in northwest Africa"
NHS-C099,NHS-R26,Greeks,mode1248,Ce7,.,EH01,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C033,NHS-R10,Guarani,tupi1282|west2640,Sh7|Sj10,.,SM04,181,.,,1,0,.,.,.,Combines several D-PLACE entries
NHS-C049,NHS-R19,Haida,nort2983,Nb1,B290,.,131,.,J3,1,1,1,.,.,.
NHS-C066,NHS-R30,Hausa,araw1280,Cb26,.,MS12,26,.,,1,1,.,.,.,.
NHS-C019,NHS-R22,Hawaiians,hawa1245,Ij6,.,OV05,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C078,NHS-R04,Highland Scots,scot1245,.,.,ES10,.,.,,0,.,.,.,.,.
NHS-C067,NHS-R29,Hopi,hopi1249,Nh18,.,NT09,.,.,J159,1,1,.,.,1,.
NHS-C076,NHS-R18,Huichol,huic1243,Ni3,.,NU19,152,.,,1,1,.,.,.,.
NHS-C081,NHS-R25,Iban,iban1264,Ib1,.,OC06,85,.,,1,1,.,.,.,.
NHS-C008,NHS-R25,Ifugao,bata1298,Ia3,.,OA19,112,.,,1,1,.,.,.,.
NHS-C057,NHS-R02,Iglulik Inuit,west2618,Na22,B384,.,.,.,,1,1,1,.,.,.
NHS-C002,NHS-R11,Iroquois,iroq1247,Ng10,.,NM09,.,.,,1,1,.,.,.,.
NHS-C043,NHS-R03,Iwaidja,iway1238,.,.,.,.,.,,0,.,.,.,.,.
NHS-C012,NHS-R01,JavaÃ©,java1255,.,.,.,.,.,,0,.,.,.,.,.
NHS-C093,NHS-R13,Kanaks,loya1239|newc1243,.,.,.,.,.,,0,.,.,.,.,.
NHS-C011,NHS-R30,Kanuri,mang1399,Cb19,.,MS14,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C001,NHS-R13,Kapauku,ekar1243,Ie1,.,OJ29,94,.,,1,1,.,.,.,.
NHS-C071,NHS-R25,Kelabit,kela1258,.,.,.,.,.,,0,.,.,.,.,.
NHS-C091,NHS-R24,Khasi,khas1269,Ei8,.,AR07,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C058,NHS-R21,Klamath,klam1254,Nc8,B189,NR10,138,.,J112,1,1,1,.,1,.
NHS-C074,NHS-R20,Kogi,cogu1240,Sb2,.,SC07,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C075,NHS-R08,Korea,kore1280,Ed1,.,AA01,116,.,,1,1,.,.,.,.
NHS-C082,NHS-R06,Kuna,bord1248,Sa1,.,SB05,158,.,,1,1,.,.,.,.
NHS-C037,NHS-R15,Kurds,cent1972,Ci11,.,MA11,57,.,,1,1,.,.,.,.
NHS-C112,NHS-R19,Kwakwaka'wakw,kwak1269,Nb3,B288,.,.,.,J10,1,1,1,.,1,EA name (Kwakiutl) has become controversial
NHS-C034,NHS-R03,Lardil,lard1243,.,B102,.,.,.,,1,.,1,.,.,.
NHS-C052,NHS-R22,Lau Fijians,laua1243,lh14,.,OQ06,.,.,,1,0,.,.,.,D-PLACE entry does not include HRAF code
NHS-C059,NHS-R17,Libyan Bedouin,liby1240,Cd20,.,MT09,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C068,NHS-R27,Lozi,lozi1239,Ab3,.,FQ09,4,.,,1,1,.,.,.,.
NHS-C028,NHS-R27,Lunda,lund1266,Ac6,.,.,.,.,,1,1,.,.,.,"the EA entry is for the Ndembu, a sub-group of the Lunda"
NHS-C079,NHS-R09,Maasai,masa1300,Aj2,.,FL12,34,.,,1,1,.,.,.,.
NHS-C041,NHS-R24,Marathi,mara1378,.,.,.,.,.,,0,.,.,.,.,.
NHS-C097,NHS-R28,Mataco,wich1263,Sh1,.,SI07,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C020,NHS-R12,Maya (Yucatan Peninsula),yuca1254,.,.,NV10,.,.,,0,.,.,.,.,D-PLACE (and EA) includes an entry for the Yucatec Maya at the time of conquest (1520)
NHS-C092,NHS-R05,Mbuti,kang1285,Aa5,B65,FO04,13,.,,1,1,1,.,.,.
NHS-C062,NHS-R13,Melpa,melp1238,.,.,.,.,.,,0,.,.,.,.,.
NHS-C101,NHS-R25,Mentawaians,ment1249,Ib7,.,OD09,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C046,NHS-R25,Meratus,buki1247,.,.,.,.,.,,0,.,.,.,.,.
NHS-C069,NHS-R11,Mi'kmaq,mikm1235,Na41,B329,NJ05,126,.,,1,1,1,.,.,.
NHS-C063,NHS-R12,Nahua,west2809|east2720,.,.,NU46,.,.,,0,.,.,.,.,"D-PLACE (and EA) also include entries for Aztec, but this from time of conquest (1520)"
NHS-C106,NHS-R16,Nanai,nana1257,Ec9,.,.,.,.,,1,1,.,.,.,.
NHS-C107,NHS-R29,Navajo,nava1243,Nh3,.,NT13,.,.,J157|J158,1,1,.,.,0,.
NHS-C030,NHS-R16,Nenets,nene1249,Ec4,.,RU41,53,.,,1,1,.,.,.,D-PLACE also includes the HRAF code RU04 (Samoyed)
NHS-C021,NHS-R09,Nyangatom,nyan1315,Aj24,.,.,.,.,,0,0,.,.,.,"EA refers to the Toposa, another group of the Karamajong cluster who, some claim, share a recent ancestor with Nyangatom"
